OMAP-10 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Palatine Tonsil with MACSima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Werner Müller; Silvia Rüberg; Andreas Bosio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1297-9725; 0009-0008-1003-987X; 0000-0001-9776-2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Andrea J. Radtke; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4379-8967; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1038/s41598-022-05841-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM577.TNMJ.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,
OMAP-10,P22083,HGNC:4015,FUT4,Mouse,IgM,Monoclonal,VIMC6,Miltenyi Biotec,130-114-008,,N,,50,APC,AB_2733338,MICS,1% PFA fixed frozen,1,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,"CD15 is expressed on neutrophils, eosinophils, and some monocytes. It is also expressed on Hodgkin-Reed-Sternberg cells. It is not an essential marker for the tonsil OMAP.",palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P62736,HGNC:130,ACTA2,Human,IgG1,Monoclonal,REAL650,Miltenyi Biotec,130-123-363,,Y ,,100,FITC,AB_2857589,MICS,1% PFA fixed frozen,1,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,Alpha smooth muscle actin defines the fibroblastic reticular network and vasculature of the tonsil. This is an essential marker for many cell types including smooth muscle cells and many subsets of fibroblasts. This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P20702,HGNC:6152,ITGAX,Human,IgG1,Monoclonal,REAL235,Miltenyi Biotec,130-121-314,,Y ,,50,PE,AB_2857543,MICS,1% PFA fixed frozen,1,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD11c is expressed on dendritic cells. It does not define a particular region in the tonsil. This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P10415,HGNC:990,BCL2,Human,IgG1,Monoclonal,REA872,Miltenyi Biotec,130-114-337,,Y ,,50,FITC,AB_2726569,MICS,1% PFA fixed frozen,2,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,BCL2 represents an anti-apoptotic protein highly expressed in mantle zone B cells and follicular lymphoma tumor B cells. This marker can be used to define the mantle zone (high expression) and germinal center (negative) in the tonsil. This marker is not a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P18827,HGNC:10658,SCD1,Human,IgG1,Monoclonal,REA929,Miltenyi Biotec,130-115-478,,Y ,,50,FITC,AB_2857402,MICS,1% PFA fixed frozen,3,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD138 is a marker for plasma cells along with the Plasma Cell and CD79a markers. Most plasma cells are located in the extra follicular region of the tonsil. This marker represents a prioritized target in the tonsil OMAP. CD138 also defines the epithelium of the tonsil.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P29017,HGNC:1636,CD1C,Human, IgG1,Monoclonal,REA694,Miltenyi Biotec,130-110-594,,Y ,,50,PE,AB_2656037,MICS,1% PFA fixed frozen,2,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,Y,CD1c is expressed on mantle zone B cells and myeolid DC. This marker represents a core panel and prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,Q15116,HGNC:8760,PDCD1,Human,IgG1,Monoclonal,REAL531,Miltenyi Biotec,130-122-169,,Y ,,50,APC,AB_2904903,MICS,1% PFA fixed frozen,4,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD279 (PD-1) is expressed on germinal center T cells.  This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,Q9NNX6,HGNC:1641,CD209,Human,IgG1,Monoclonal,REAL1087,Miltenyi Biotec,130-127-659,,Y ,,50,PE,AB_2904822,MICS,1% PFA fixed frozen,3,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD209 (DC-SIGN) defines DC-SIGN+ macrophages and dendritic cells.  This marker is not a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P49961,HGNC:3363,ENTPD1,Human,IgG1,Monoclonal,REA739,Miltenyi Biotec,130-110-788,,Y ,,50,PE,AB_2657889,MICS,1% PFA fixed frozen,4,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD39 is expressed on T cells and endothelial cells in the tonsil. This marker is not a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P15391,HGNC:1633,CD19,Human,IgG1,Monoclonal,REAL106,Miltenyi Biotec,130-112-247,,Y ,,50,FITC,AB_2751091,MICS,1% PFA fixed frozen,5,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD19 is expessed on B cells (like CD20). CD20 is the prioritized marker for the tonsil OMAP. CD19 is not a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P01730,HGNC:1678,CD4,Human,IgG1,Monoclonal,REA1307,Miltenyi Biotec,130-127-906,,Y ,,50,PE,AB_2921815,MICS,1% PFA fixed frozen,5,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD4 is expressed by subsets of T cells. This marker is also expressed on a subset of myeloid cells. This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P07766,HGNC:1674,CD3E,Human,IgG1,Monoclonal,REAL1097,Miltenyi Biotec,130-128-911,,Y ,,50,APC,AB_2904988,MICS,1% PFA fixed frozen,7,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,Y,CD3 defines T cell zone and is an essential marker of T cells. This marker represents a core panel and prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P20023,HGNC:2336,CR2,Human,IgG1,Monoclonal,REA940,Miltenyi Biotec,130-115-609,,Y ,,50,FITC,AB_2727121,MICS,1% PFA fixed frozen,7,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,"CD21 defines follicular dendritic cell meshworks in primary follicles, secondary follicles, and germinal centers. This marker is essential for defining follicular dendritic cells and represents a prioritized target in the tonsil OMAP.",palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P34810,HGNC:1693,CD68,Human,IgG1,Monoclonal,REA1306,Miltenyi Biotec,130-128-345,,Y ,,50,PE,AB_2905104,MICS,1% PFA fixed frozen,7,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD68 cannot be used to define a specific anatomical structure but is expressed by many subsets of myeloid cells. This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P11836,HGNC:7315,MS4A1,Human, IgG1,Monoclonal,REA1087,Miltenyi Biotec,130-118-292,,Y ,,50,FITC,AB_2857425,MICS,1% PFA fixed frozen,6,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,CD20 is expressed on  B cells and defines B cell follicles This marker represents a prioritized target in the tonsil OMAP.,palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
OMAP-10,P26842,HGNC:11922,CD27,Human,IgG1,Monoclonal,REA499,Miltenyi Biotec,130-114-165,,Y ,,50,FITC,AB_2726470,MICS,1% PFA fixed frozen,8,,DOI: 10.1038/s41598-022-05841-4,0000-0002-1297-9725,N,"CD27 is expressed at differing levels on memory B cells, a fraction of plasma cells, and on naive and memory T cells, but is not expressed on naive B cells or effector T cells. It is also expressed on NK cells. This marker is not a prioritized target in the tonsil OMAP.",palatine tonsil,UBERON:0002373,,,,,,,,,,,,,,,,,,
