Crosswalk of VCCF Types annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Aleix Puig-Barbe,,,,,
Author ORCID(s):,0000-0001-6677-8489,,,,,
Reviewer(s):,"Bruce Herr II, Katy Borner, Jie Zheng",,,,,
Reviewer ORCID(s):,"0000-0002-6703-7647, 0000-0002-3321-6137, 0000-0002-2999-0103",,,,,
General Publication(s):,,,,,,
Data DOI:,https://doi.org/10.48539/HBM492.ZSQS.495,,,,,
Date:,"December 15, 2025",,,,,
Version number:,v1.1,,,,,
Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match
bonemarrow-codex-chop_L1,UBERON:0002371,mesenchymal cell,VCCF:0000001,mesenchymal cell,CL:0008019,skos:exactMatch
bonemarrow-codex-chop_L1,UBERON:0002371,unknown cell,VCCF:0000002,cell:unknown,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L1,UBERON:0002371,immune cell,VCCF:0000003,leukocyte,CL:0000738,skos:broadMatch
bonemarrow-codex-chop_L1,UBERON:0002371,hematopoeitic precursor cell,VCCF:0000004,hematopoietic precursor cell,CL:0008001,skos:exactMatch
bonemarrow-codex-chop_L1,UBERON:0002371,endothelial cell,VCCF:0000005,endothelial cell,CL:0000115,skos:exactMatch
bonemarrow-codex-chop_L1,UBERON:0002371,neural cell,VCCF:0000006,neural cell,CL:0002319,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,adipocyte,VCCF:0000007,adipocyte,CL:0000136,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,unknown cell,VCCF:0000008,cell:unknown,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L2,UBERON:0002371,b cell,VCCF:0000009,B cell,CL:0000236,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,erythroid precursor,VCCF:0000010,erythroid progenitor cell,CL:0000038,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,megakaryocyte,VCCF:0000011,megakaryocyte,CL:0000556,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,t cell,VCCF:0000012,T cell,CL:0000084,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,progenitor cell,VCCF:0000013,progenitor cell,CL:0011026,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,skeletal stromal cell,VCCF:0000014,bone cell:stromal,CL:0001035,skos:narrowMatch
bonemarrow-codex-chop_L2,UBERON:0002371,endothelial cell of artery,VCCF:0000015,endothelial cell of artery,CL:1000413,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,endothelial cell of sinusoid,VCCF:0000016,endothelial cell of sinusoid,CL:0002262,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,myeloid precursor,VCCF:0000017,common myeloid progenitor,CL:0000049,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,stem cell,VCCF:0000018,stem cell,CL:0000034,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,macrophage,VCCF:0000019,macrophage,CL:0000235,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,myeloid cell,VCCF:0000020,myeloid cell,CL:0000763,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,mesenchymal stem cell,VCCF:0000021,mesenchymal stem cell,CL:0000134,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,monocyte,VCCF:0000022,monocyte,CL:0000576,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,abnormal cell,VCCF:0000023,abnormal cell,CL:0001061,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,dendritic cell,VCCF:0000024,dendritic cell,CL:0000451,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,neuroglial cell,VCCF:0000025,glial cell,CL:0000125,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,hematopoietic stem and progenitor cell,VCCF:0000026,hematopoietic precursor cell,CL:0008001,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,mesenchymal stem/stromal cell,VCCF:0000027,mesenchymal stem cell,CL:0000134,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,muscle cell,VCCF:0000028,muscle cell,CL:0000187,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,adipocyte,VCCF:0000029,adipocyte,CL:0000136,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,unknown cell,VCCF:0000030,cell:unknown,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,b cell,VCCF:0000031,B cell,CL:0000236,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,erythroblast:basophilic,VCCF:0000032,basophilic erythroblast,CL:0000549,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,cell:cd34+ cd61+,VCCF:0000033,leukocyte:cd34-positive cd61-positive,CL:0000738,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,t cell:cd4+ alpha-beta,VCCF:0000034,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,t cell:cd8+ alpha-beta regulatory,VCCF:0000035,"CD8-positive, alpha-beta regulatory T cell",CL:0000795,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,lymphoid progenitor cell:common,VCCF:0000036,common lymphoid progenitor,CL:0000051,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,myeloid progenitor cell:common,VCCF:0000037,common myeloid progenitor,CL:0000049,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,endosteal cell,VCCF:0000038,endosteal cell,CL:0002157,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,endothelial cell of artery,VCCF:0000039,endothelial cell of artery,CL:1000413,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,endothelial cell of sinusoid,VCCF:0000040,endothelial cell of sinusoid,CL:0002262,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,erythroblast,VCCF:0000041,erythroblast,CL:0000765,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,erythroid lineage cell,VCCF:0000042,erythroid lineage cell,CL:0000764,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,megakaryocyte:gata1+,VCCF:0000043,megakaryocyte:gata1-positive,CL:0000556,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,granulocyte monocyte progenitor cell/myeloblast,VCCF:0000044,myeloid lineage restricted progenitor cell:granulocyte monocyte progenitor cell/myeloblast,CL:0000839,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,granulocyte monocyte progenitor cell,VCCF:0000045,granulocyte monocyte progenitor cell,CL:0000557,skos:exactMatch
