Crosswalk of CellTypist annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,,,,,
Author ORCID(s):,0000-0001-7655-4833,,,,,
Reviewer(s):,"Bruce Herr II, Katy Borner",,,,,
Reviewer ORCID(s):,"0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
General Publication(s):,https://doi.org/10.1016/j.cell.2023.11.026,,,,,
Data DOI:,https://doi.org/10.48539/HBM478.ZWDH.384,,,,,
Date:,15-Jun-24,,,,,
Version number:,v1.0,,,,,
Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match
blood_L1,UBERON:0000178,Age-associated B cells,CT:0000001,B cell:age-associated,CL:0000236,skos:narrowMatch
blood_L1,UBERON:0000178,C1 non-classical monocytes,CT:0000002,non-classical monocyte,CL:0000875,skos:narrowMatch
blood_L1,UBERON:0000178,CD16+ NK cells,CT:0000003,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch
blood_L1,UBERON:0000178,CD16- NK cells,CT:0000004,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch
blood_L1,UBERON:0000178,Classical monocytes,CT:0000005,classical monocyte,CL:0000860,skos:exactMatch
blood_L1,UBERON:0000178,Cycling immune mix,CT:0000006,leukocyte,CL:0000738,skos:narrowMatch
blood_L1,UBERON:0000178,DC1,CT:0000007,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
blood_L1,UBERON:0000178,DC2,CT:0000008,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
blood_L1,UBERON:0000178,HSC/MPP,CT:0000009,hematopoietic multipotent progenitor cell,CL:0000837,skos:exactMatch
blood_L1,UBERON:0000178,MAIT cells,CT:0000010,mucosal invariant T cell,CL:0000940,skos:exactMatch
blood_L1,UBERON:0000178,Megakaryocytes/platelets,CT:0000011,megakaryocyte,CL:0000556,skos:exactMatch
blood_L1,UBERON:0000178,Memory B cells,CT:0000012,memory B cell,CL:0000787,skos:exactMatch
blood_L1,UBERON:0000178,Naive B cells,CT:0000013,naive B cell,CL:0000788,skos:exactMatch
blood_L1,UBERON:0000178,Non-classical monocytes,CT:0000014,non-classical monocyte,CL:0000875,skos:exactMatch
blood_L1,UBERON:0000178,Non-switched memory B cells,CT:0000015,unswitched memory B cell,CL:0000970,skos:exactMatch
blood_L1,UBERON:0000178,Plasma cells,CT:0000016,plasma cell,CL:0000786,skos:exactMatch
blood_L1,UBERON:0000178,Plasmablasts,CT:0000017,plasmablast,CL:0000980,skos:exactMatch
blood_L1,UBERON:0000178,Regulatory T cells,CT:0000018,regulatory T cell,CL:0000815,skos:exactMatch
blood_L1,UBERON:0000178,Switched memory B cells,CT:0000019,class switched memory B cell,CL:0000972,skos:exactMatch
blood_L1,UBERON:0000178,Tcm/Naive cytotoxic T cells,CT:0000020,"central memory CD8-positive, alpha-beta T cell",CL:0000907,skos:exactMatch
blood_L1,UBERON:0000178,Tcm/Naive helper T cells,CT:0000021,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch
blood_L1,UBERON:0000178,Tem/Effector helper T cells,CT:0000022,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch
blood_L1,UBERON:0000178,Tem/Temra cytotoxic T cells,CT:0000023,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,skos:exactMatch
blood_L1,UBERON:0000178,Tem/Temra helper T cells,CT:0000024,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CL:0001087,skos:exactMatch
blood_L1,UBERON:0000178,Tem/Trm cytotoxic T cells,CT:0000025,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:exactMatch
blood_L1,UBERON:0000178,gdT,CT:0000026,gamma-delta T cell,CL:0000798,skos:exactMatch
blood_L1,UBERON:0000178,pDC,CT:0000027,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
bone marrow_L1,UBERON:0002371,Age-associated B cells,CT:0000028,memory B cell,CL:0000787,skos:narrowMatch
bone marrow_L1,UBERON:0002371,CD16+ NK cells,CT:0000029,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch
bone marrow_L1,UBERON:0002371,CD16- NK cells,CT:0000030,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch
bone marrow_L1,UBERON:0002371,CD24 neutrophils,CT:0000031,neutrophil:CD24,CL:0000775,skos:narrowMatch
bone marrow_L1,UBERON:0002371,CMP,CT:0000032,common myeloid progenitor,CL:0000049,skos:exactMatch
bone marrow_L1,UBERON:0002371,CRTAM+ gamma-delta T cells,CT:0000033,gamma-delta T cell,CL:0000798,skos:narrowMatch
bone marrow_L1,UBERON:0002371,Classical monocytes,CT:0000034,classical monocyte,CL:0000860,skos:exactMatch
bone marrow_L1,UBERON:0002371,Cycling T&NK,CT:0000035,mature NK T cell:cycling,CL:0000814,skos:narrowMatch
bone marrow_L1,UBERON:0002371,DC precursor,CT:0000036,common dendritic progenitor,CL:0001029,skos:exactMatch
bone marrow_L1,UBERON:0002371,DC1,CT:0000037,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
bone marrow_L1,UBERON:0002371,DC2,CT:0000038,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
bone marrow_L1,UBERON:0002371,ELP,CT:0000039,early lymphoid progenitor,CL:0000936,skos:exactMatch
bone marrow_L1,UBERON:0002371,ETP,CT:0000040,thymocyte,CL:0000893,skos:exactMatch
bone marrow_L1,UBERON:0002371,Early MK,CT:0000041,megakaryocyte progenitor cell,CL:0000553,skos:exactMatch
bone marrow_L1,UBERON:0002371,Early erythroid,CT:0000042,erythroid lineage cell:early,CL:0000764,skos:narrowMatch
bone marrow_L1,UBERON:0002371,Erythrocytes,CT:0000043,erythrocyte,CL:0000232,skos:exactMatch
bone marrow_L1,UBERON:0002371,Follicular helper T cells,CT:0000044,T follicular helper cell,CL:0002038,skos:exactMatch
bone marrow_L1,UBERON:0002371,GMP,CT:0000045,granulocyte monocyte progenitor cell,CL:0000557,skos:exactMatch
bone marrow_L1,UBERON:0002371,HSC/MPP,CT:0000046,hematopoietic multipotent progenitor cell,CL:0000837,skos:exactMatch
bone marrow_L1,UBERON:0002371,Late erythroid,CT:0000047,erythroid lineage cell:late,CL:0000764,skos:narrowMatch
bone marrow_L1,UBERON:0002371,MAIT cells,CT:0000048,mucosal invariant T cell,CL:0000940,skos:exactMatch
bone marrow_L1,UBERON:0002371,MEMP,CT:0000049,megakaryocyte-erythroid progenitor cell,CL:0000050,skos:exactMatch
bone marrow_L1,UBERON:0002371,Mast cells,CT:0000050,mast cell,CL:0000097,skos:exactMatch
bone marrow_L1,UBERON:0002371,Megakaryocyte precursor,CT:0000051,megakaryocyte progenitor cell,CL:0000553,skos:exactMatch
bone marrow_L1,UBERON:0002371,Megakaryocytes/platelets,CT:0000052,megakaryocyte,CL:0000556,skos:exactMatch
bone marrow_L1,UBERON:0002371,Memory B cells,CT:0000053,memory B cell,CL:0000787,skos:exactMatch
bone marrow_L1,UBERON:0002371,Mid erythroid,CT:0000054,erythroid lineage cell,CL:0000764,skos:narrowMatch
bone marrow_L1,UBERON:0002371,NAMPT neutrophils,CT:0000055,neutrophil:NAMPT,CL:0000775,skos:narrowMatch
bone marrow_L1,UBERON:0002371,Naive B cells,CT:0000056,naive B cell,CL:0000788,skos:exactMatch
bone marrow_L1,UBERON:0002371,Neutrophil-myeloid progenitor,CT:0000057,neutrophil progenitor cell,CL:0000834,skos:exactMatch
bone marrow_L1,UBERON:0002371,Neutrophils,CT:0000058,neutrophil,CL:0000775,skos:exactMatch
bone marrow_L1,UBERON:0002371,Non-classical monocytes,CT:0000059,non-classical monocyte,CL:0000875,skos:exactMatch
bone marrow_L1,UBERON:0002371,Plasma cells,CT:0000060,plasma cell,CL:0000786,skos:exactMatch
bone marrow_L1,UBERON:0002371,Plasmablasts,CT:0000061,plasmablast,CL:0000980,skos:exactMatch
bone marrow_L1,UBERON:0002371,Pro-B cells,CT:0000062,pro-B cell,CL:0000826,skos:exactMatch
bone marrow_L1,UBERON:0002371,Promyelocytes,CT:0000063,promyelocyte,CL:0000836,skos:exactMatch
bone marrow_L1,UBERON:0002371,Regulatory T cells,CT:0000064,regulatory T cell,CL:0000815,skos:exactMatch
bone marrow_L1,UBERON:0002371,Small pre-B cells,CT:0000065,small pre-B-II cell,CL:0000954,skos:exactMatch
bone marrow_L1,UBERON:0002371,Tcm/Naive cytotoxic T cells,CT:0000066,"central memory CD8-positive, alpha-beta T cell",CL:0000907,skos:exactMatch
bone marrow_L1,UBERON:0002371,Tcm/Naive helper T cells,CT:0000067,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch
bone marrow_L1,UBERON:0002371,Tem/Effector helper T cells,CT:0000068,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch
bone marrow_L1,UBERON:0002371,Tem/Temra cytotoxic T cells,CT:0000069,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,skos:exactMatch
bone marrow_L1,UBERON:0002371,Tem/Trm cytotoxic T cells,CT:0000070,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:exactMatch
bone marrow_L1,UBERON:0002371,pDC,CT:0000071,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
bone marrow_L1,UBERON:0002371,pDC precursor,CT:0000072,"plasmacytoid dendritic cell, human",CL:0001058,skos:narrowMatch
heart_L1,UBERON:0000948,Adipocytes,CT:0000073,adipocyte,CL:0000136,skos:exactMatch
heart_L1,UBERON:0000948,Arterial SMC,CT:0000074,vascular associated smooth muscle cell:arterial,CL:0000359,skos:narrowMatch
heart_L1,UBERON:0000948,Arterial endothelial cells,CT:0000075,endothelial cell of artery,CL:1000413,skos:exactMatch
heart_L1,UBERON:0000948,Atria-enriched endothelial cells,CT:0000076,cardiac endothelial cell:atrial-enriched,CL:0010008,skos:narrowMatch
heart_L1,UBERON:0000948,Atria-enriched pericytes,CT:0000077,pericyte:atrial-enriched,CL:0000669,skos:narrowMatch
heart_L1,UBERON:0000948,Atrial cardiomyocytes,CT:0000078,regular atrial cardiac myocyte,CL:0002129,skos:exactMatch
heart_L1,UBERON:0000948,Basic SMC,CT:0000079,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch
heart_L1,UBERON:0000948,CMC-like endothelial cells,CT:0000080,endothelial cell:cardiomyocyte-like,CL:0000115,skos:narrowMatch
heart_L1,UBERON:0000948,CMC-like pericytes,CT:0000081,pericyte:cardiomyocyte-like,CL:0000669,skos:narrowMatch
heart_L1,UBERON:0000948,Capillary endothelial cells,CT:0000082,capillary endothelial cell,CL:0002144,skos:exactMatch
heart_L1,UBERON:0000948,Cytoplasmic cardiomyocytes,CT:0000083,cardiac muscle cell,CL:0000746,skos:narrowMatch
heart_L1,UBERON:0000948,Fibroblast-like endothelial cells,CT:0000084,endothelial cell,CL:0000115,skos:narrowMatch
heart_L1,UBERON:0000948,Fibroblasts,CT:0000085,fibroblast,CL:0000057,skos:exactMatch
heart_L1,UBERON:0000948,Immune-related endothelial cells,CT:0000086,endothelial cell,CL:0000115,skos:narrowMatch
heart_L1,UBERON:0000948,Lymphatic endothelial cells,CT:0000087,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
heart_L1,UBERON:0000948,Lymphoid,CT:0000088,lymphocyte,CL:0000542,skos:exactMatch
heart_L1,UBERON:0000948,MT-high fibroblasts,CT:0000089,fibroblast,CL:0000057,skos:narrowMatch
heart_L1,UBERON:0000948,Mast cells,CT:0000090,mast cell,CL:0000097,skos:exactMatch
heart_L1,UBERON:0000948,Mesothelial cells,CT:0000091,mesothelial cell,CL:0000077,skos:exactMatch
heart_L1,UBERON:0000948,Myeloid,CT:0000092,myeloid cell,CL:0000763,skos:exactMatch
heart_L1,UBERON:0000948,NK cells,CT:0000093,natural killer cell,CL:0000623,skos:exactMatch
heart_L1,UBERON:0000948,Neuronal cells,CT:0000094,Schwann cell,CL:0002573,skos:narrowMatch
heart_L1,UBERON:0000948,Stromal pericytes,CT:0000095,pericyte,CL:0000669,skos:narrowMatch
heart_L1,UBERON:0000948,Venous endothelial cells,CT:0000096,vein endothelial cell,CL:0002543,skos:exactMatch
heart_L1,UBERON:0000948,Ventricle-enriched pericytes,CT:0000097,pericyte,CL:0000669,skos:narrowMatch
heart_L1,UBERON:0000948,Ventricular cardiomyocytes,CT:0000098,regular ventricular cardiac myocyte,CL:0002131,skos:exactMatch
hippocampus_L1,UBERON:0002421,Arterial SMC,CT:0000099,vascular associated smooth muscle cell:arterial,CL:0000359,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA ACVR1C ExN,CT:0000100,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA GLYATL1 ExN,CT:0000101,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA GRIK1 ExN,CT:0000102,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA/Sub COBLL1 ExN,CT:0000103,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA/Sub CUX2 ExN,CT:0000104,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA/Sub GFRA1 ExN,CT:0000105,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA/Sub KCNK13 ExN,CT:0000106,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA/Sub PXDN ExN,CT:0000107,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA/Sub TRPC3 ExN,CT:0000108,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CA3 FGF5 ExN,CT:0000109,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,CD83+ microglia,CT:0000110,mature microglial cell,CL:0002629,skos:narrowMatch
hippocampus_L1,UBERON:0002421,COP,CT:0000111,oligodendrocyte precursor cell,CL:0002453,skos:exactMatch
hippocampus_L1,UBERON:0002421,Endothelial cells,CT:0000112,endothelial cell,CL:0000115,skos:exactMatch
hippocampus_L1,UBERON:0002421,Ependymal cells,CT:0000113,ependymal cell,CL:0000065,skos:exactMatch
hippocampus_L1,UBERON:0002421,GFAP high astrocytes,CT:0000114,hippocampal astrocyte,CL:0002604,skos:narrowMatch
hippocampus_L1,UBERON:0002421,GFAP low astrocytes,CT:0000115,hippocampal astrocyte,CL:0002604,skos:narrowMatch
hippocampus_L1,UBERON:0002421,LAMP5 CHST9 InN,CT:0000116,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,LAMP5 KIT InN,CT:0000117,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,LAMP5 NMBR InN,CT:0000118,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,MEIS2 SHISAL2B InN,CT:0000119,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,Macrophages,CT:0000120,macrophage,CL:0000235,skos:exactMatch
hippocampus_L1,UBERON:0002421,NR2F2 InN,CT:0000121,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,OPC,CT:0000122,oligodendrocyte precursor cell,CL:0002453,skos:exactMatch
hippocampus_L1,UBERON:0002421,Oligodendrocytes,CT:0000123,oligodendrocyte,CL:0000128,skos:exactMatch
hippocampus_L1,UBERON:0002421,P2RY12+ microglia,CT:0000124,mature microglial cell,CL:0002629,skos:narrowMatch
hippocampus_L1,UBERON:0002421,PDLIM5+ granule cells,CT:0000125,hippocampal granule cell,CL:0001033,skos:narrowMatch
hippocampus_L1,UBERON:0002421,PVALB InN,CT:0000126,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,Pericytes,CT:0000127,pericyte,CL:0000669,skos:exactMatch
hippocampus_L1,UBERON:0002421,SGCZ+ granule cells,CT:0000128,hippocampal granule cell,CL:0001033,skos:narrowMatch
hippocampus_L1,UBERON:0002421,SST InN,CT:0000129,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,Sub DCN ExN,CT:0000130,hippocampal pyramidal neuron,CL:1001571,skos:narrowMatch
hippocampus_L1,UBERON:0002421,T cells,CT:0000131,T cell,CL:0000084,skos:exactMatch
hippocampus_L1,UBERON:0002421,VIP InN,CT:0000132,hippocampal interneuron,CL:1001569,skos:narrowMatch
hippocampus_L1,UBERON:0002421,VLMC,CT:0000133,vascular leptomeningeal cell,CL:4023051,skos:exactMatch
hippocampus_L1,UBERON:0002421,Venous SMC,CT:0000134,smooth muscle cell of the brain vasculature,CL:0002590,skos:exactMatch
intestine_L1,UBERON:0000160,Arterial endothelial cells,CT:0000135,endothelial cell of artery,CL:1000413,skos:exactMatch
intestine_L1,UBERON:0000160,BEST4+ enterocytes,CT:0000136,enterocyte,CL:0000584,skos:narrowMatch
intestine_L1,UBERON:0000160,Capillary endothelial cells,CT:0000137,capillary endothelial cell,CL:0002144,skos:exactMatch
intestine_L1,UBERON:0000160,Colonocytes,CT:0000138,enterocyte of epithelium of large intestine,CL:0002071,skos:exactMatch
intestine_L1,UBERON:0000160,Cycling B cells,CT:0000139,B cell,CL:0000236,skos:narrowMatch
intestine_L1,UBERON:0000160,Cycling/Secretory TA,CT:0000140,transit amplifying cell,CL:0009010,skos:narrowMatch
intestine_L1,UBERON:0000160,DC1,CT:0000141,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
intestine_L1,UBERON:0000160,DC2,CT:0000142,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
intestine_L1,UBERON:0000160,Enterocytes,CT:0000143,enterocyte,CL:0000584,skos:exactMatch
intestine_L1,UBERON:0000160,Enteroendocrine cells,CT:0000144,enteroendocrine cell,CL:0000164,skos:exactMatch
intestine_L1,UBERON:0000160,Follicular B cells,CT:0000145,follicular B cell,CL:0000843,skos:exactMatch
intestine_L1,UBERON:0000160,Follicular helper T cells,CT:0000146,T follicular helper cell,CL:0002038,skos:exactMatch
intestine_L1,UBERON:0000160,Germinal center B cells,CT:0000147,germinal center B cell,CL:0000844,skos:exactMatch
intestine_L1,UBERON:0000160,Glia,CT:0000148,glial cell,CL:0000125,skos:exactMatch
intestine_L1,UBERON:0000160,Goblet cells,CT:0000149,goblet cell,CL:0000160,skos:exactMatch
intestine_L1,UBERON:0000160,ILC,CT:0000150,innate lymphoid cell,CL:0001065,skos:exactMatch
intestine_L1,UBERON:0000160,Immature goblet cells,CT:0000151,goblet cell,CL:0000160,skos:narrowMatch
intestine_L1,UBERON:0000160,Intestinal macrophages,CT:0000152,gastrointestinal tract (lamina propria) macrophage,CL:0000865,skos:narrowMatch
intestine_L1,UBERON:0000160,Lymphatic endothelial cells,CT:0000153,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
intestine_L1,UBERON:0000160,Macrophages,CT:0000154,macrophage,CL:0000235,skos:exactMatch
intestine_L1,UBERON:0000160,Mast cells,CT:0000155,mast cell,CL:0000097,skos:exactMatch
intestine_L1,UBERON:0000160,Memory B cells,CT:0000156,memory B cell,CL:0000787,skos:exactMatch
intestine_L1,UBERON:0000160,Monocytes,CT:0000157,monocyte,CL:0000576,skos:exactMatch
intestine_L1,UBERON:0000160,Myofibroblasts,CT:0000158,myofibroblast cell,CL:0000186,skos:exactMatch
intestine_L1,UBERON:0000160,NK cells,CT:0000159,natural killer cell,CL:0000623,skos:exactMatch
intestine_L1,UBERON:0000160,Naive B cells,CT:0000160,naive B cell,CL:0000788,skos:exactMatch
intestine_L1,UBERON:0000160,Paneth,CT:0000161,paneth cell,CL:0000510,skos:exactMatch
intestine_L1,UBERON:0000160,Pericytes,CT:0000162,pericyte,CL:0000669,skos:exactMatch
intestine_L1,UBERON:0000160,Plasma cells,CT:0000163,plasma cell,CL:0000786,skos:exactMatch
intestine_L1,UBERON:0000160,Regulatory T cells,CT:0000164,regulatory T cell,CL:0000815,skos:exactMatch
intestine_L1,UBERON:0000160,Stem cells,CT:0000165,stem cell,CL:0000034,skos:exactMatch
intestine_L1,UBERON:0000160,Stromal 1,CT:0000166,stromal cell:1,CL:0000499,skos:narrowMatch
