Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Kidney with CODEX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Elizabeth Neumann; Melissa Farrow,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-6078-3321; 0000-0002-1602-2082,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Andrea J. Radtke; Christopher Werlein; Ellen M. Quardokus; Diane C. Saunders; Anna Martinez Casals; Presha Rajbhandari
",,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4379-8967; 0000-0002-7694-4257; 0000-0001-7655-4833; 0000-0002-8849-6746; 0000-0003-2722-1965; 0000-0003-2184-7238,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1038/s41592-021-01316-y;  https://doi.org/10.1016/j.kint.2021.08.033; https://doi.org/10.1016/j.xpro.2021.100747,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM568.RMZB.377,,,,,,,,,,,,,,,,,,,,
Date:,"December 15, 2022",,,,,,,,,,,,,,,,,,,,
Version Number:,v.1.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
uniprot_accession_number,HGNC_ID,target_name,host,isotype,clonality,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcid,core_panel,rationale
P09564,HGNC:1695,CD7,Mouse,"IgG2a, kappa",CD7-6B7,Akoya,4150022,B311698,N,,1:1000,Oligonucleotide,AB_2924733,CODEX,Fresh frozen,1,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker cannot be used to define a specific anatomical structure or cell type. It is expressed by NK cells and T cells and can be used to evaluate immune infiltration. This marker represents a prioritized target.
P29972,HGNC:633,Aquaporin 1,Rabbit,IgG2b,1/22,Abcam,ab9566,GR3330284-1,Y,,1:1000,Oligonucleotide,AB_296494,CODEX,Fresh frozen,1,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,"This marker defines major anatomical structures and cell types including proximal tubule cells, the descending limb of the loop of Henle, and glomerular capillary endothelial cells. This marker represents a core panel and prioritized target. "
P41181,HGNC:634,Aquaporin 2,Rabbit,IgG,EPR21080,Abcam,ab230170,GR3309659-1,Y,,1:1000,Oligonucleotide,AB_2847928,CODEX,Fresh frozen,1,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines major anatomical structures and cell types including the collecting duct (principle cell). This marker represents a core panel and prioritized target. 
P04216,HGNC:11801,CD90,Mouse,"IgG1, kappa",5E10,Akoya,4150021,B311697,N,,1:1000,Oligonucleotide,AB_2895055,CODEX,Fresh frozen,2,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker defines (but does not distinguish) diverse anatomical structures and cell types including proximal tubules, mesangial cells, fibroblasts, and activated endothelial cells. This marker represents a prioritized target."
P28907,HGNC:1667,CD38,Mouse,"IgG1, kappa",HB-7,Akoya,4150007,B275925,N,,1:1000,Oligonucleotide,AB_2909414,CODEX,Fresh frozen,3,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker cannot be used to define a specific anatomical structure or cell type. It is broadly expressed by NK cells, T cells, B cells, plasma cells, and red blood cells. This marker can be used to evaluate immune infiltration and represents a prioritized target. "
P46013,HGNC:7107,Ki67,Rabbit,IgG,B56,Akoya,4250019,B305585,N,,1:1000,Oligonucleotide,AB_2895046,CODEX,Fresh frozen,3,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker cannot be used to define a specific anatomical structure or cell type. It can be used to evaluate proliferating cells and regenerating tubular cells. This marker represents a prioritized target.
P48681,HGNC:7756,Nestin,Rabbit,IgG,EPR22023,Abcam,ab221660,GR3234351,Y,,1:1000,Oligonucleotide,AB_2909415,CODEX,Fresh frozen,3,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines glomeruli and is expressed by glomerular podocytes and some endothelial cells. This marker represents a core panel and prioritized target. 
P08575,HGNC:9666,CD45,Mouse,"IgG1, kappa",HI30,Akoya,4150003,B304055,N,,1:1000,Oligonucleotide,AB_2895052,CODEX,Fresh frozen,4,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker cannot be used to define a specific anatomical structure or cell type. It is broadly expressed by all hematopoietic cells and can be used to evaluate immune infiltration. This marker represents a prioritized target.
P07911,HGNC:12559,Uromodulin,Rabbit,IgG,EPR20071,Abcam,ab207170,GR3291001,Y,,1:1000,Oligonucleotide,AB_2889163,CODEX,Fresh frozen,4,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines epithelial cells of the thick ascending limb of Henle's loop and of the proximal part of the distal convoluted tubules. This marker represents a core panel and prioritized target. 
P35222,HGNC:2514,Beta-Catenin,Rabbit,IgG,E247,Abcam,ab32572,GR3269711,Y,,1:1000,Oligonucleotide,AB_725966,CODEX,Fresh frozen,4,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker defines major anatomical structures and cell types associated with the tubular epithelium. This marker represents a prioritized target.
P08670,HGNC:12692,Vimentin,Rabbit,IgG,EPR2911,Abcam,ab92548,GR3238979,Y,,1:1000,Oligonucleotide,AB_10585132,CODEX,Fresh frozen,5,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,"This marker defines glomeruli, the kidney interstitium, and targets a marker highly expressed by podocytes, mesenchymal cells, fibroblasts, and mesangial cells. Vimentin and synaptopodin are useful markers for podocyte identification. This marker represents a core panel and prioritized target. "
P09874,HGNC:270,PARP1,Rabbit,IgG,EPR18461,Abcam,ab191217,GR3281797-1,Y,,1:1000,Oligonucleotide,AB_2861274,CODEX,Fresh frozen,6,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker may be used to evaluate immune-mediated nephritis. Variable expression of this marker in glomeruli and tubules has been reported across individuals. This marker represents a prioritized target.
P16284,HGNC:8823,CD31,Mouse,"IgG1, kappa",WM59,Akoya,4250009,B298655,N,,1:1000,Oligonucleotide,AB_2895051,CODEX,Fresh frozen,6,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker broadly defines all blood endothelial cell subtypes in the kidney. This marker represents a prioritized target.
Q9NPY3,HGNC:15855,CD93,Rabbit,IgG,EPR5386,Abcam,ab134079,GR33666664-1,Y,,1:1000,Oligonucleotide,AB_2909416,CODEX,Fresh frozen,6,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker defines peritubular capillary and glomerular endothelium. This marker represents a prioritized target.
P12830,HGNC:1748,E-Cadherin,Rabbit,IgG,24E10,Cell Signaling Technology,3195,Cyg0419101,N,,1:1000,Oligonucleotide,AB_2291471,CODEX,Fresh frozen,7,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker defines distal convoluted tubules, collecting ducts, and the loop of Henle. It is useful for segmentation. This marker represents a  prioritized target in the kidney OMAP."
P11047,HGNC:6492,Laminin,Rabbit,"IgG2a, kappa",2E8,DSHB,2E8,3/26/20-536,N,,1:1000,Oligonucleotide,AB_528343,CODEX,Fresh frozen,7,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines the basement membrane and is useful for segmentation. This marker represents a core panel and prioritized target in the kidney OMAP.
P35968,HGNC:6307,KDR/VEGFR2,Rabbit,IgG1,EPR21233,Abcam,ab237634,GR3256123-1,Y,,1:1000,Oligonucleotide,AB_2909417,CODEX,Fresh frozen,7,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker defines peritubular capillary and glomerular endothelium. This marker represents a prioritized target.
P05937,HGNC:1434,Calbindin,Rabbit,IgG,EPR3478,Abcam,ab108404,GR3264008,Y,,1:1000,Oligonucleotide,AB_10861236,CODEX,Fresh frozen,8,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker defines major anatomical structures and cell types including the distal convoluted tubules, connecting segment, and cortical collecting duct. This marker represents a prioritized target."
P08729,HGNC:6445,Cytokeratin 7,Rabbit,IgG,EPR1619Y,Abcam,ab68459,GR3249684-1,Y,,1:1000,Oligonucleotide,AB_1139824,CODEX,Fresh frozen,8,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker cannot be used to define a specific anatomical structure or cell type. It broadly defines the epithelial cells of the kidney. This marker represents a prioritized target.
P62736,HGNC:130,Alpha smooth muscle actin,Rabbit,"IgG2a, kappa",1A4,Abcam,ab7817,GR3273998-2,Y,,1:1000,Oligonucleotide,AB_262054,CODEX,Fresh frozen,8,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker defines populations of stromal cells including smooth muscle cells and (myo)fibroblasts. This marker represents a prioritized target.
P00797,HGNC:9958,Renin,Rabbit,IgG,EPR20693,Abcam,ab212197,GR3366010-1,Y,,1:1000,Oligonucleotide,AB_2909418,CODEX,Fresh frozen,9,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker specifically defines juxtaglomerular cells. This marker represents a prioritized target.
Q15661,HGNC:12019,Tryptase,Rabbit,IgG,EPR9522,Abcam,ab151757,GR3366012-1,Y,,1:1000,Oligonucleotide,AB_2909419,CODEX,Fresh frozen,9,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker is an essential marker for mast cells and can be used to evaluate immune infiltration. This marker represents a prioritized target.
