OMAP-29 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of human mouth mucosa with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Kevin M. Byrd; Quinn Easter; Bruno Matuck,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5565-0524; 0000-0002-8018-0405; 0000-0002-2132-3402,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ellen M. Quardokus; Diane Saunders; Werner Muller; Elizabeth McDonough,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-8849-6746; 0000-0002-8849-6746;0000-0002-1297-9725;0000-0001-7524-8260,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM222.BJWR.353,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcid,core_panel,rationale,organ,organ_uberon
OMAP-29,P10415,HGNC:990,BCL2,Rabbit,IgG,Monoclonal,EPR17509,Akoya Biosciences,4250098,B356029,Y,,200,Oligonucleotide,AB_3082974,CODEX,FFPE,14,AF647,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,"This marker defines various tissues, often in cancer cells. and indicates anti-apoptotic protein, cancer therapy resistance.",mouth mucosa,UBERON:0003729
OMAP-29,Q03135,HGNC:1527,CAV1,Rabbit,IgG,Monoclonal,D46G3,Akoya Biosciences,4450084,,Y,,200,Oligonucleotide,AB_3662763,CODEX,FFPE,14,AF750,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker defines endothelial cells and lipid raft domain.,mouth mucosa,UBERON:0003729
OMAP-29,P11279,HGNC:6499,LAMP1,Mouse,IgG1,Monoclonal,H4A3,Akoya Biosciences,4550098,B350898,N,,200,Oligonucleotide,AB_3474468,CODEX,FFPE,10,AF647,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,"This marker defines Cytotoxic T cells, NK cells and is a degranulation marker in cytotoxic cells. ",mouth mucosa,UBERON:0003729
OMAP-29,P20702,HGNC:6152,ITGAX,Rabbit,IgG,Monoclonal,118/A5,Akoya Biosciences,4550135,B365463,N,,200,Oligonucleotide,AB_3678450,CODEX,FFPE,17,AF647,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker is highly expressed in dendritic cells.,mouth mucosa,UBERON:0003729
OMAP-29,P08571,HGNC:1628,CD14,Rabbit,IgG,Monoclonal,EPR3653,Akoya Biosciences,4450047,B354790,Y,,200,Oligonucleotide,AB_3083457,CODEX,FFPE,7,Atto550,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This mareker defines the LPS co-receptor.,mouth mucosa,UBERON:0003729
OMAP-29,P07204,HGNC:11784,THBD,Rabbit,IgG,Monoclonal,E7Y9P,Akoya Biosciences,4250097,B366139,Y,,200,Oligonucleotide,AB_3082975,CODEX,FFPE,11,Atto550,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker defines dendritic cells.,mouth mucosa,UBERON:0003729
OMAP-29,P11836,HGNC:7315,MS4A1,Mouse,IgG2a,Monoclonal,L26,Akoya Biosciences,4450094,B340236,N,,200,Oligonucleotide,AB_3094498,CODEX,FFPE,1,AF750,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker defines B Cells.,mouth mucosa,UBERON:0003729
OMAP-29,P17927,HGNC:2334,CR1,Rabbit,IgG,Monoclonal,EP3093,Akoya Biosciences,4450027,0222L410,Y,,200,Oligonucleotide,AB_3474900,CODEX,FFPE,6,Atto550,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker defines follicular dendritic cells.,mouth mucosa,UBERON:0003729
OMAP-29,P16284,HGNC:8823,PECAM1,Rabbit,IgG,Monoclonal,EP3095,Akoya Biosciences,4150017,B360631,Y,,200,Oligonucleotide,AB_3678451,CODEX,FFPE,10,AF750,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,Y,This marker defines vascular endothelial cells and is part of the core panel.,mouth mucosa,UBERON:0003729
OMAP-29,P28906,HGNC:1662,CD34,Mouse,IgG1,Monoclonal,QBEND10,Akoya Biosciences,4250057,B359680,N,,200,Oligonucleotide,AB_3676526,CODEX,FFPE,13,Atto550,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker defines vascular progenitor cells.,mouth mucosa,UBERON:0003729
OMAP-29,P28907,HGNC:1667,CD38,Rabbit,IgG,Monoclonal,E7Z8C,Akoya Biosciences,4250080,B354170,Y,,200,Oligonucleotide,AB_3082976,CODEX,FFPE,14,Atto550,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,"This marker defines plasma, B, some T, NK, and Macrophage/Monocytes and can be a marker of immune cell activation. ",mouth mucosa,UBERON:0003729
OMAP-29,P07766,HGNC:1674,CD3E,Rabbit,IgG,Monoclonal,EP449E,Akoya Biosciences,4550119,B358626,Y,,200,Oligonucleotide,AB_2936080,CODEX,FFPE,4,AF647,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker indicates T Cell activation and regulation.,mouth mucosa,UBERON:0003729
OMAP-29,P01730,HGNC:1678,CD4,Mouse,IgG1,Monoclonal,SK3,Akoya Biosciences,4550105,B360688,Y,,200,Oligonucleotide,AB_3678452,CODEX,FFPE,1,AF647,https://doi.org/10.1101/2024.12.01.626279,0000-0002-5565-0524,N,This marker defines helper T Cell CD4+.,mouth mucosa,UBERON:0003729
