Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Liver with SIMS v1.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Hua Tian, Presha Rajbhandari, Taruna V Neelakantan, Aubrianna M Decker, Brent R Stockwell",,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,"0000-0002-3598-0219, 0000-0003-2184-7238, 0000-0003-2222-4630, 0000-0002-0646-1815, 0000-0002-3532-3868",,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Andrea J. Radtke,  Ellen  M. Quardokus, Christopher Werlein",,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,"0000-0003-4379-896, 0000-0001-7655-4833, 0000-0002-7694-4257",,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM279.BTBC.847,,,,,,,,,,,,,,,,,,,,,
Date:,"May 6, 2022",,,,,,,,,,,,,,,,,,,,,
Version number,v1.0,,,,,,,,,,,,,,,,,,,,,
uniprot_accession_number,HGNC_ID,target_name,antibody_name,host_organism,clonality,vendor,catalog_number,lot_number,recombinant,Dilution/Concentration,Conjugate,RRID,Application,Method,Tissue Preservation,Cycle Number,Fluorescent reporter,DOI for Protocol,ORCID ID of Author,Core Panel (4-6 markers),Essential 25-plex,Rationale
P08575,HGNC:9666,CD45,CD45 (Intracellular Domain) (D9M8I) XP® Rabbit mAb,Rabbit IgG,D9M8I,Cell Signaling,13917S,NA,No,1:10-1:50,89Y,AB_2750898,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0219,N,Y,Stains leukocytes
P01730,HGNC:1678,CD4,CD4 Antibody,Mouse monoclonal,RPA-T4,Novus,NBP2-25199,AB061008A,No,1:50,113 In,AB_2909635,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0219,N,Y,Stains T cells and macrophages 
P62736,HGNC:130,SMA,Anti-Alpha-Smooth Muscle Actin,Mouse IgG2a,1A4,Fluidigm,3141017D,BN 2491903,No,1:20-1:50,141Pr,AB_2890139,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0219,Y,Y,"Stains smooth muscle cells in vascular walls,  sinusoidal endothelial cells, and activated fibroblasts "
P14136,HGNC:4235,GFAP,Recombinant Anti-GFAP antibody,Rabbit monoclonal,EPR1034Y,Abcam,ab218309,GR3339182,Yes,1:20,143Nd,AB_2909614,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0219,N,Y,Stains Ito Stellate cells
P49006,HGNC:7142,Heppar-1/CPS1,Hepatocyte Specific Antigen Antibody (HepPar1),Mouse monoclonal,HepPar1,Novus,NBP3-08970,MSM4-966PABXX210304,No,1:20-1:50,145Nd,AB_2909615,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0219,Y,Y,Stains zone 1 or periportal hepatocytes 
P15104,HGNC:4341,Glutamine Synthetase,Recombinant Anti-Glutamine Synthetase antibody,Rabbit monoclonal,EPR13022(B),Abcam,ab240193,GR3288072,Yes,1:20-1:50,147Sm,AB_2909636,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0219,Y,Y,Stains zone 3 or pericentral hepatocytes
P16284,HGNC:8823,CD31,Anti-CD31 antibody,Mouse monoclonal,JC/70A,Abcam,ab264090,NA,No,1:20,148Nd,AB_2909616,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0220,N,Y,Stains endothelial cells
P34810,HGNC:1693,CD68,CD68 (D4B9C) XP® Rabbit mAb,Rabbit IgG,D4B9C,Cell Signaling,76437S,NA,No,1:20,151Eu,AB_2799882,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0221,N,Y,Stains macrophages
P31994,HGNC:3618,CD32,Anti-Human CD32,Mouse IgG2b,FUN-2,Fluidigm,3153018B,BN 1531531,No,1:20,153Eu,AB_2909617,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0222,N,Y,"Stains B cells, monocytes, granulocytes, and platelets "
P05089,HGNC:663,Arginase1,Arginase-1 (D4E3M™) XP® Rabbit mAb,Rabbit IgG,D4E3M™,Cell Signaling,93668S,NA,No,1:20-1:50,158Gd,AB_2800207,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0223,N,Y,Stains zone 1 and zone 2 hepatocytes and macrophages
