OMAP-11 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Spleen with IBEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Andrea J. Radtke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Danny Jonigk; Ronald N. Germain; Ellen Quardokus; Diane Saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-5251-2281; 0000-0003-1495-9143; 0000-0001-7655-4833; 0000-0002-8849-6746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1073/pnas.2018488117; DOI: 10.1038/s41596-021-00644-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM854.CXRG.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,
OMAP-11,P20023,HGNC:2336,CR2,Mouse,IgG1 kappa,Monoclonal,Bu32,BioLegend,354902,B268709,N,,600,AF532,AB_2892739,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,"Defines follicular dendritic cell meshworks in primary follicles, secondary follicles, and germinal centers. This marker is essential for defining follicular dendritic cells and represents a prioritized target in the spleen OMAP.",Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,P05362,HGNC:5344,ICAM1,Mouse,IgG1 kappa,Monoclonal,HA58,BioLegend,353114,B242400,N,,50,AF647,AB_2715942,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,Defines stromal cells of the red pulp as well as follicular dendritic cells in the follicles. ,Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,P11836,HGNC:7315,MS4A1,Mouse,IgG2b kappa,Monoclonal,L26,Thermo Fisher Scientific,53-0202-82,2141141,N,,200,AF488,AB_10734358,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,Y,Defines B cell follicles and is an essential marker of B cells. This marker represents a core marker and prioritized target in the spleen OMAP.,Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,P34810,HGNC:1693,CD68,Mouse,IgG1 kappa,Monoclonal,KP1,Caprico Biotechnologies,1064136,64A3F1,N,,50,iF594,AB_2892745,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,Y,"Defines red pulp based on enrichment of CD68+ macrophages in this anatomical structure. This marker is expressed by many subsets of myeloid cells (tingible body macrophages, proinflammatory M1 macrophages, dendritic cells). This marker represents a core marker and prioritized target in the spleen OMAP.",Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,P02724,HGNC:4702,GYPA,Rabbit,IgG,Monoclonal,EPR8200,Abcam,ab218372,GR3290087-1,N,,300,AF555,AB_2892758,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,This marker cannot be used to define a specific anatomical structure but is expressed by red blood cells in the red pulp. ,Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,P02671,HGNC:3661,FGA,Sheep,IgG,Polyclonal,,Abcam,ab118533 ,GR3322035-5,N,,200,Unconjugated,AB_10900171,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,This marker cannot be used to define a specific anatomical structure and exists as a soluble protein in the plasma. It is detected using an anti-sheep secondary antibody (Thermo Fisher Scientific A-21102) and is not a prioritized target for the spleen OMAP.,Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,,,,Donkey,IgG,Polyclonal,,Thermo Fisher Scientific,A-21102,2168866,N,,400,AF680,AB_2535755,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,"Secondary antibody used to detect Fibrinogen, see above.",Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,Q86VB7,HGNC:1631,CD163,Mouse,IgG1 kappa,Monoclonal,GHI/61,BioLegend,333602,B320393,N,,100,AF532,AB_2892759,IBEX,1% PFA fixed frozen,2,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,Defines red pulp based on enrichment of CD163+ macrophages in this anatomical structure. This marker represents a prioritized target in the spleen OMAP.,Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,P56199,HGNC:6134,ITGA1,Mouse,IgG1 kappa,Monoclonal,TS2/7,BioLegend,328310,B241477,N,,100,AF647,AB_2129242,IBEX,1% PFA fixed frozen,2,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,Y,Defines red pulp based on labeling of splenic stromal cells including reticular cells of the sinusoids. This marker represents a core marker and prioritized target in the spleen OMAP.,Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
OMAP-11,P18827,HGNC:10658,SDC1,Mouse,IgG1 kappa,Monoclonal,MI15,BioLegend,356504,B281497,N,,200,PE,AB_2561878,IBEX,1% PFA fixed frozen,2,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,This marker cannot define an anatomical structure alone but identifies plasma cells/plasmablasts. This marker represents a prioritized target in the spleen OMAP.,Spleen,UBERON:0002106,,,,,,,,,,,,,,,,,,
