"Anatomical Structures, Cell Types and Biomarkers Table for Skeleton",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Griffin Weber,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-2597-881X,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.; FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.",,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM233.TRCP.638,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,CT/1,CT/1/LABEL,CT/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES
skeleton,skeleton,UBERON:0004288,,,,,,,,,,,,,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,,,,,,,,,,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,,,,,,,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,,,,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,anatomical neck of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,capitulum of humerus,capitulum of humerus,UBERON:0010853,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,coronoid fossa of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,deltoid tuberosity of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,greater tubercle of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
