Crosswalk of Pan-human Azimuth Types annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Aleix Puig-Barbe,,,,,
Author ORCID(s):,0000-0001-6677-8489,,,,,
Reviewer(s):,"Bruce Herr II, Katy Borner, Jie Zheng",,,,,
Reviewer ORCID(s):,"0000-0002-6703-7647, 0000-0002-3321-6137, 0000-0002-2999-0103",,,,,
General Publication(s):,,,,,,
Data DOI:,https://doi.org/10.48539/HBM727.TLKL.237,,,,,
Date:,"December 15, 2025",,,,,
Version number:,v1.1,,,,,
Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match
body_proper,UBERON:0013702,Adipocyte,PAZ:0000001,adipocyte,CL:0000136,skos:exactMatch
body_proper,UBERON:0013702,Doublet like cell,PAZ:0000002,cell:doublet like cell,CL:0000000,skos:narrowMatch
body_proper,UBERON:0013702,Embryonic cell,PAZ:0000003,embryonic cell (metazoa),CL:0002321,skos:exactMatch
body_proper,UBERON:0013702,Endothelial cell,PAZ:0000004,endothelial cell,CL:0000115,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell,PAZ:0000005,epithelial cell,CL:0000066,skos:exactMatch
body_proper,UBERON:0013702,Fibroblast,PAZ:0000006,fibroblast,CL:0000057,skos:exactMatch
body_proper,UBERON:0013702,Germ cell,PAZ:0000007,germ cell,CL:0000586,skos:exactMatch
body_proper,UBERON:0013702,Glial cell,PAZ:0000008,glial cell,CL:0000125,skos:exactMatch
body_proper,UBERON:0013702,Immune cell,PAZ:0000009,leukocyte,CL:0000738,skos:exactMatch
body_proper,UBERON:0013702,Muscle cell,PAZ:0000010,muscle cell,CL:0000187,skos:exactMatch
body_proper,UBERON:0013702,Neuron,PAZ:0000011,neuron,CL:0000540,skos:exactMatch
body_proper,UBERON:0013702,Perivascular cell,PAZ:0000012,perivascular cell,CL:4033054,skos:exactMatch
body_proper,UBERON:0013702,Fibroblast/Granulosa doublet like cell,PAZ:0000013,cell:fibroblast/granulosa doublet like cell,CL:0000000,skos:narrowMatch
body_proper,UBERON:0013702,Mesodermal cell,PAZ:0000014,mesodermal cell,CL:0000222,skos:exactMatch
body_proper,UBERON:0013702,Trophoblast,PAZ:0000015,trophoblast cell,CL:0000351,skos:exactMatch
body_proper,UBERON:0013702,Arterial EC,PAZ:0000016,endothelial cell of artery,CL:1000413,skos:exactMatch
body_proper,UBERON:0013702,Capillary EC,PAZ:0000017,capillary endothelial cell,CL:0002144,skos:exactMatch
body_proper,UBERON:0013702,Cycling EC,PAZ:0000018,endothelial cell:cycling,CL:0000115,skos:narrowMatch
body_proper,UBERON:0013702,Endocardial cell,PAZ:0000019,endocardial cell,CL:0002350,skos:exactMatch
body_proper,UBERON:0013702,Endothelial-mesenchymal transition EC,PAZ:0000020,endothelial cell:endothelial-mesenchymal transition,CL:0000115,skos:narrowMatch
body_proper,UBERON:0013702,Lymphatic EC,PAZ:0000021,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
body_proper,UBERON:0013702,Tip EC,PAZ:0000022,endothelial tip cell,CL:0000704,skos:exactMatch
body_proper,UBERON:0013702,Venous EC,PAZ:0000023,vein endothelial cell,CL:0002543,skos:exactMatch
body_proper,UBERON:0013702,Endocrine cell,PAZ:0000024,endocrine cell,CL:0000163,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of adrenal gland,PAZ:0000025,adrenal gland glandular cell,CL:1001601,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of bladder,PAZ:0000026,epithelial cell:bladder,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Epithelial cell of breast,PAZ:0000027,mammary gland epithelial cell,CL:0002327,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of eye,PAZ:0000028,epithelial cell:liver,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Epithelial cell of gingiva,PAZ:0000029,gingival epithelial cell,CL:0002621,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of intestine,PAZ:0000030,intestinal epithelial cell,CL:0002563,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of kidney,PAZ:0000031,kidney epithelial cell,CL:0002518,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of liver,PAZ:0000032,epithelial cell:liver,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Epithelial cell of lung,PAZ:0000033,epithelial cell of lung,CL:0000082,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of ovary,PAZ:0000034,epithelial cell:ovary,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Epithelial cell of pancreas,PAZ:0000035,epithelial cell of pancreas,CL:0000083,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of skin,PAZ:0000036,epithelial cell:skin,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Epithelial cell of stomach,PAZ:0000037,epithelial cell of stomach,CL:0002178,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of testis,PAZ:0000038,epithelial cell:testis,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Epithelial cell of thymus,PAZ:0000039,epithelial cell of thymus,CL:0002293,skos:exactMatch
body_proper,UBERON:0013702,Mesothelial cell,PAZ:0000040,mesothelial cell,CL:0000077,skos:exactMatch
body_proper,UBERON:0013702,Adipose ITLN1 fibroblast,PAZ:0000041,fibroblast:Adipose ITLN1,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,ANGPTL7+NRP2+ fibroblast,PAZ:0000042,fibroblast:ANGPTL7+NRP2+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,C2orf40+ fibroblast,PAZ:0000043,fibroblast:C2orf40+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,C3+ fibroblast,PAZ:0000044,fibroblast:C3+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CCL11+ fibroblast,PAZ:0000045,fibroblast:CCL11+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CCL2+SFRP2+ fibroblast,PAZ:0000046,fibroblast:CCL2+SFRP2+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CD55+SEMA3C+ fibroblast,PAZ:0000047,fibroblast:CD55+SEMA3C+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CDCA7+ fibroblast,PAZ:0000048,fibroblast:CDCA7+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CFD+MGP+ fibroblast,PAZ:0000049,fibroblast:CFD+MGP+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CLU+ fibroblast,PAZ:0000050,fibroblast:CLU+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CXCL+ fibroblast,PAZ:0000051,fibroblast:CXCL+,CL:0000057,skos:narrowMatch
