OMAP-3 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Kidney with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Elizabeth Neumann; Melissa Farrow,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-6078-3321; 0000-0002-1602-2082,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Andrea J. Radtke; Christopher Werlein; Ellen M. Quardokus; Diane C. Saunders; Anna Martinez Casals; Presha Rajbhandari
",,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4379-8967; 0000-0002-7694-4257; 0000-0001-7655-4833; 0000-0002-8849-6746; 0000-0003-2722-1965; 0000-0003-2184-7238,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1038/s41592-021-01316-y;  https://doi.org/10.1016/j.kint.2021.08.033; https://doi.org/10.1016/j.xpro.2021.100747,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM953.VJHK.452,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v.1.2,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_name,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcid,core_panel,rationale,organ,organ_uberon
OMAP-3,P09564,HGNC:1695,CD7,Mouse,IgG2a kappa,monoclonal,CD7-6B7,Akoya Biosciences,4150022,B311698,N,,1000,Oligonucleotide,AB_2924733,CODEX,Fresh frozen,1,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker cannot be used to define a specific anatomical structure or cell type. It is expressed by NK cells and T cells and can be used to evaluate immune infiltration. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,P29972,HGNC:633,AQP1,Rabbit,IgG2b,monoclonal,1/22,Abcam,ab9566,GR3330284-1,Y,,1000,Oligonucleotide,AB_296494,CODEX,Fresh frozen,1,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,"This marker defines major anatomical structures and cell types including proximal tubule cells, the descending limb of the loop of Henle, and glomerular capillary endothelial cells. This marker represents a core panel and prioritized target. ",kidney,UBERON:0002113
OMAP-3,P41181,HGNC:634,AQP2,Rabbit,IgG,monoclonal,EPR21080,Abcam,ab230170,GR3309659-1,Y,,1000,Oligonucleotide,AB_2847928,CODEX,Fresh frozen,1,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines major anatomical structures and cell types including the collecting duct (principle cell). This marker represents a core panel and prioritized target. ,kidney,UBERON:0002113
OMAP-3,P04216,HGNC:11801,THY1,Mouse,IgG1 kappa,monoclonal,5E10,Akoya Biosciences,4150021,B311697,N,,1000,Oligonucleotide,AB_2895055,CODEX,Fresh frozen,2,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker defines (but does not distinguish) diverse anatomical structures and cell types including proximal tubules, mesangial cells, fibroblasts, and activated endothelial cells. This marker represents a prioritized target.",kidney,UBERON:0002113
OMAP-3,P28907,HGNC:1667,CD38,Mouse,IgG1 kappa,monoclonal,HB-7,Akoya Biosciences,4150007,B275925,N,,1000,Oligonucleotide,AB_2909414,CODEX,Fresh frozen,3,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker cannot be used to define a specific anatomical structure or cell type. It is broadly expressed by NK cells, T cells, B cells, plasma cells, and red blood cells. This marker can be used to evaluate immune infiltration and represents a prioritized target. ",kidney,UBERON:0002113
OMAP-3,P46013,HGNC:7107,MKI67,Rabbit,IgG,monoclonal,B56,Akoya Biosciences,4250019,B305585,N,,1000,Oligonucleotide,AB_2895046,CODEX,Fresh frozen,3,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker cannot be used to define a specific anatomical structure or cell type. It can be used to evaluate proliferating cells and regenerating tubular cells. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,P48681,HGNC:7756,NES,Rabbit,IgG,monoclonal,EPR22023,Abcam,ab221660,GR3234351,Y,,1000,Oligonucleotide,AB_2909415,CODEX,Fresh frozen,3,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines glomeruli and is expressed by glomerular podocytes and some endothelial cells. This marker represents a core panel and prioritized target. ,kidney,UBERON:0002113
OMAP-3,P08575,HGNC:9666,PTPRC,Mouse,IgG1 kappa,monoclonal,HI30,Akoya Biosciences,4150003,B304055,N,,1000,Oligonucleotide,AB_2895052,CODEX,Fresh frozen,4,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker cannot be used to define a specific anatomical structure or cell type. It is broadly expressed by all hematopoietic cells and can be used to evaluate immune infiltration. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,P07911,HGNC:12559,UMOD,Rabbit,IgG,monoclonal,EPR20071,Abcam,ab207170,GR3291001,Y,,1000,Oligonucleotide,AB_2889163,CODEX,Fresh frozen,4,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines epithelial cells of the thick ascending limb of Henle's loop and of the proximal part of the distal convoluted tubules. This marker represents a core panel and prioritized target. ,kidney,UBERON:0002113
OMAP-3,P35222,HGNC:2514,CTNNB1,Rabbit,IgG,monoclonal,E247,Abcam,ab32572,GR3269711,Y,,1000,Oligonucleotide,AB_725966,CODEX,Fresh frozen,4,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker defines major anatomical structures and cell types associated with the tubular epithelium. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,P08670,HGNC:12692,VIM,Rabbit,IgG,monoclonal,EPR2911,Abcam,ab92548,GR3238979,Y,,1000,Oligonucleotide,AB_10585132,CODEX,Fresh frozen,5,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,"This marker defines glomeruli, the kidney interstitium, and targets a marker highly expressed by podocytes, mesenchymal cells, fibroblasts, and mesangial cells. Vimentin and synaptopodin are useful markers for podocyte identification. This marker represents a core panel and prioritized target. ",kidney,UBERON:0002113
OMAP-3,P09874,HGNC:270,PARP1,Rabbit,IgG,monoclonal,EPR18461,Abcam,ab191217,GR3281797-1,Y,,1000,Oligonucleotide,AB_2861274,CODEX,Fresh frozen,6,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker may be used to evaluate immune-mediated nephritis. Variable expression of this marker in glomeruli and tubules has been reported across individuals. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,P16284,HGNC:8823,PECAM1,Mouse,IgG1 kappa,monoclonal,WM59,Akoya Biosciences,4250009,B298655,N,,1000,Oligonucleotide,AB_2895051,CODEX,Fresh frozen,6,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker broadly defines all blood endothelial cell subtypes in the kidney. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,Q9NPY3,HGNC:15855,CD93,Rabbit,IgG,monoclonal,EPR5386,Abcam,ab134079,GR33666664-1,Y,,1000,Oligonucleotide,AB_2909416,CODEX,Fresh frozen,6,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker defines peritubular capillary and glomerular endothelium. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,P12830,HGNC:1748,CDH1,Rabbit,IgG,monoclonal,24E10,Cell Signaling Technology,3195,Cyg0419101,N,,1000,Oligonucleotide,AB_2291471,CODEX,Fresh frozen,7,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker defines distal convoluted tubules, collecting ducts, and the loop of Henle. It is useful for segmentation. This marker represents a  prioritized target in the kidney OMAP.",kidney,UBERON:0002113
OMAP-3,P11047,HGNC:6492,LAMC1,Rabbit,IgG2a kappa,monoclonal,2E8,DSHB,2E8,3/26/20-536,N,,1000,Oligonucleotide,AB_528343,CODEX,Fresh frozen,7,Atto550,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,Y,This marker defines the basement membrane and is useful for segmentation. This marker represents a core panel and prioritized target in the kidney OMAP.,kidney,UBERON:0002113
OMAP-3,P35968,HGNC:6307,KDR,Rabbit,IgG1,monoclonal,EPR21233,Abcam,ab237634,GR3256123-1,Y,,1000,Oligonucleotide,AB_2909417,CODEX,Fresh frozen,7,Cy5,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,This marker defines peritubular capillary and glomerular endothelium. This marker represents a prioritized target.,kidney,UBERON:0002113
OMAP-3,P05937,HGNC:1434,CALB1,Rabbit,IgG,monoclonal,EPR3478,Abcam,ab108404,GR3264008,Y,,1000,Oligonucleotide,AB_10861236,CODEX,Fresh frozen,8,AF488,https://dx.doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6078-3321,N,"This marker defines major anatomical structures and cell types including the distal convoluted tubules, connecting segment, and cortical collecting duct. This marker represents a prioritized target.",kidney,UBERON:0002113
