Lymph Vasculature Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Dhruv Singhal; Maxim Itkin; Avinash Boppana,,,,,,,,,,,
Author ORCID(s):,0000-0002-6300-1647; 0000-0003-1361-7109; 0000-0003-0834-8274,,,,,,,,,,,
Reviewer(s):,Robin Wang; Valeria Bustos; Griffin Weber; Ellen Quardokus,,,,,,,,,,,
Reviewer ORCID(s):,0000-0001-7369-0602; 0000-0001-6682-4246; 0000-0002-2597-881X; 0000-0001-7655-4833,,,,,,,,,,,
General Publication(s):,"Rouviere H. Anatomie des Lymphatiques de l'Homme. Masson et Cie: Paris, 1932.",,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM837.QHLP.485,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
LymphStructure,LymphStructureID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
anterior interosseous lymphatic channel,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
brachial lymph trunk,FMA:234924,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
cubital fossa lymph node,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
deep radial lymphatic channel,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
deep ulnar lymphatic channel,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
epitrochlear lymph node,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
humeral lymph node,FMA:71743,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
medial lymphatic pathway of upper arm,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
posterior interosseous lymphatic channel,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
superficial ulnar lymphatic channel,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
superior ulnar lymph node,,drains,arm,UBERON:0001460,999,arm,UBERON:0001460,,,,,
