Crosswalk of VCCF Types annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Aleix Puig-Barbe,,,,,
Author ORCID(s):,0000-0001-6677-8489,,,,,
Reviewer(s):,"Bruce Herr II, Katy Borner",,,,,
Reviewer ORCID(s):,"0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
General Publication(s):,,,,,,
Data DOI:,,,,,,
Date:,"June 15, 2025",,,,,
Version number:,v1.0,,,,,
Organ_Level,Organ_ID,Annotation_Label_ID,Annotation_Label,CL_Label,CL_ID,CL_Match
bonemarrow-codex-chop_L1,UBERON:0002371,VCCF:0000001,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch
bonemarrow-codex-chop_L1,UBERON:0002371,VCCF:0000002,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L1,UBERON:0002371,VCCF:0000003,immune cell,leukocyte,CL:0000738,skos:exactMatch
bonemarrow-codex-chop_L1,UBERON:0002371,VCCF:0000004,hematopoeitic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch
bonemarrow-codex-chop_L1,UBERON:0002371,VCCF:0000005,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch
bonemarrow-codex-chop_L1,UBERON:0002371,VCCF:0000006,neural cell,neural cell,CL:0002319,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000007,adipocyte,adipocyte,CL:0000136,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000008,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000009,b cell,B cell,CL:0000236,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000010,erythroid precursor,erythroid progenitor cell,CL:0000038,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000011,megakaryocyte,megakaryocyte,CL:0000556,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000012,t cell,T cell,CL:0000084,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000013,progenitor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000014,skeletal stromal cell,bone cell:stromal,CL:0001035,skos:narrowMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000015,endothelial cell of artery,endothelial cell of artery,CL:1000413,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000016,endothelial cell of sinusoid,endothelial cell of sinusoid,CL:0002262,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000017,myeloid precursor,common myeloid progenitor,CL:0000049,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000018,stem cell,stem cell,CL:0000034,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000019,macrophage,macrophage,CL:0000235,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000020,myeloid cell,myeloid cell,CL:0000763,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000021,mesenchymal stem cell,mesenchymal stem cell,CL:0000134,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000022,monocyte,monocyte,CL:0000576,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000023,abnormal cell,abnormal cell,CL:0001061,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000024,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000025,neuroglial cell,glial cell,CL:0000125,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000026,hematopoietic stem and progenitor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000027,mesenchymal stem/stromal cell,mesenchymal stem cell,CL:0000134,skos:exactMatch
bonemarrow-codex-chop_L2,UBERON:0002371,VCCF:0000028,muscle cell,muscle cell,CL:0000187,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000029,adipocyte,adipocyte,CL:0000136,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000030,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000031,b cell,B cell,CL:0000236,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000032,erythroblast:basophilic,basophilic erythroblast,CL:0000549,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000033,cell:cd34+ cd61+,leukocyte:cd34-positive cd61-positive,CL:0000738,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000034,t cell:cd4+ alpha-beta,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000035,t cell:cd8+ alpha-beta regulatory,"CD8-positive, alpha-beta regulatory T cell",CL:0000795,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000036,lymphoid progenitor cell:common,common lymphoid progenitor,CL:0000051,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000037,myeloid progenitor cell:common,common myeloid progenitor,CL:0000049,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000038,endosteal cell,endosteal cell,CL:0002157,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000039,endothelial cell of artery,endothelial cell of artery,CL:1000413,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000040,endothelial cell of sinusoid,endothelial cell of sinusoid,CL:0002262,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000041,erythroblast,erythroblast,CL:0000765,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000042,erythroid lineage cell,erythroid lineage cell,CL:0000764,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000043,megakaryocyte:gata1+,megakaryocyte:gata1-positive,CL:0000556,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000044,granulocyte monocyte progenitor cell/myeloblast,myeloid lineage restricted progenitor cell:granulocyte monocyte progenitor cell/myeloblast,CL:0000839,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000045,granulocyte monocyte progenitor cell,granulocyte monocyte progenitor cell,CL:0000557,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000046,hematopoietic stem cell,hematopoietic stem cell,CL:0000037,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000047,b cell:immature,immature B cell,CL:0000816,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000048,myeloid cell:intermediate,myeloid cell:intermediate,CL:0000763,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000049,macrophage,macrophage,CL:0000235,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000050,myeloid cell:mature,myeloid cell:mature,CL:0000763,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000051,megakaryocyte:gata1-,megakaryocyte:gata1-negative,CL:0000556,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000052,mesenchymal stem cell of adipose tissue,mesenchymal stem cell of adipose tissue,CL:0002570,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000053,monocyte,monocyte,CL:0000576,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000054,monocyte:non-classical,non-classical monocyte,CL:0000875,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000055,mutant blast:npm1,cell:mutant blast npm1,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000056,plasma cell,plasma cell,CL:0000786,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000057,dendritic cell:plasmacytoid,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000058,schwann cell,Schwann cell,CL:0002573,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000059,hematopoietic stem and progenitor cell:spink2+,hematopoietic multipotent progenitor cell:spink2-positive,CL:0000837,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000060,mesenchymal stem/stromal cell:thy1+,mesenchymal stem cell:thy1-positive,CL:0000134,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,VCCF:0000061,muscle cell:smooth,smooth muscle cell,CL:0000192,skos:exactMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,VCCF:0000062,immune cell,leukocyte,CL:0000738,skos:exactMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,VCCF:0000063,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,VCCF:0000064,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,VCCF:0000065,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,VCCF:0000066,b cell,B cell,CL:0000236,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,VCCF:0000067,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,VCCF:0000068,t cell,T cell,CL:0000084,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,VCCF:0000069,abnormal cell,abnormal cell,CL:0001061,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,VCCF:0000070,macrophage,macrophage,CL:0000235,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,VCCF:0000071,fibroblast,fibroblast,CL:0000057,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000072,b cell,B cell,CL:0000236,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000073,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000074,t cell:cd8+,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000075,t cell:cd8+ pdl1+,"CD8-positive, alpha-beta T cell:pdl1-positive",CL:0000625,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000076,lymphocyte:double-negative,double negative thymocyte,CL:0002489,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000077,lymphocyte:double-positive alpha-beta,"double-positive, alpha-beta thymocyte",CL:0000809,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000078,epithelial cell:ki67+ proliferating tumor,epithelial cell:ki67-positive proliferating tumor,CL:0000066,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000079,epithelial cell:pdl1+ tumor,epithelial cell:pdl1-positive tumor,CL:0000066,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000080,t cell:cd4+,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000081,t cell:cd4+ pdl1+,"CD4-positive, alpha-beta T cell:pdl1-positive",CL:0000624,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000082,lymphocyte:iii,lymphocyte:III,CL:0000542,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000083,lymphocyte:pdl1+,lymphocyte:pdl1-positive,CL:0000542,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000084,macrophage:i,macrophage:I,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000085,macrophage:ii,macrophage:II,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000086,macrophage:iii,macrophage:III,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000087,macrophage:iv,macrophage:IV,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000088,macrophage:pdl1+,macrophage:pdl1-positive,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000089,myofibroblast,myofibroblast cell,CL:0000186,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000090,neoplastic cell,neoplastic cell,CL:0001063,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,VCCF:0000091,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,VCCF:0000092,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,VCCF:0000093,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,VCCF:0000094,immune cell,leukocyte,CL:0000738,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,VCCF:0000095,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
colon-xenium-stanford_L1,UBERON:0002372,VCCF:0000096,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,VCCF:0000097,neural cell,neural cell,CL:0002319,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000098,adipocyte,adipocyte,CL:0000136,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000099,enterocyte,enterocyte,CL:0000584,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000100,t cell,T cell,CL:0000084,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000101,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000102,transit amplifying cell,transit amplifying cell,CL:0009010,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000103,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000104,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000105,endocrine cell,endocrine cell,CL:0000163,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000106,fibroblast,fibroblast,CL:0000057,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000107,neuroglial cell,glial cell,CL:0000125,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000108,goblet cell,goblet cell,CL:0000160,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000109,lymphoid cell,lymphocyte,CL:0000542,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000110,tuft cell,brush cell,CL:0002204,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000111,macrophage,macrophage,CL:0000235,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000112,mast cell,mast cell,CL:0000097,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000113,b cell,B cell,CL:0000236,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000114,neuron,neuron,CL:0000540,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000115,pericyte,pericyte,CL:0000669,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,VCCF:0000116,stem cell,stem cell,CL:0000034,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000117,adipocyte,adipocyte,CL:0000136,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000118,enteroycte:best4+,BEST4+ enterocyte,CL:4030026,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000119,t cell:cd4+ alpha-beta,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000120,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000121,transit amplifying cell:proliferating,transit amplifying cell:proliferating,CL:0009010,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000122,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000123,t cell:cd8+ alpha-beta effector memory,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000124,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000125,enterocyte,enterocyte,CL:0000584,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000126,enterocyte:immature,enterocyte:immature,CL:0000584,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000127,enterocyte:progenitor,enterocyte:progenitor,CL:0000584,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000128,enteroendocrine cell,enteroendocrine cell,CL:0000164,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000129,fibroblast:cancer associated,fibroblast:cancer associated,CL:0000057,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000130,fibroblast:crypt 1,crypt-top fibroblast:1,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000131,fibroblast:crypt 2,crypt-top fibroblast:2,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000132,fibroblast:crypt 3,crypt-top fibroblast:3,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000133,fibroblast:crypt 4,crypt-top fibroblast:4,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000134,fibroblast:wnt5b+ villus,fibroblast:wnt5b+ villus,CL:0000057,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000135,glial cell,glial cell,CL:0000125,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000136,goblet cell,goblet cell,CL:0000160,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000137,goblet cell:immature,goblet cell:immature,CL:0000160,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000138,lymphoid cell:innate,innate lymphoid cell,CL:0001065,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000139,tuft cell:intestinal,intestinal tuft cell,CL:0019032,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000140,macrophage,macrophage,CL:0000235,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000141,mast cell,mast cell,CL:0000097,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000142,b cell:memory,memory B cell,CL:0000787,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000143,myofibroblast cell:smooth muscle 1,myofibroblast cell:smooth muscle-like 1,CL:0000186,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000144,myofibroblast cell:smooth muscle 2,myofibroblast cell:smooth muscle-like 2,CL:0000186,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000145,myofibroblast cell:smooth muscle 3,myofibroblast cell:smooth muscle-like 3,CL:0000186,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000146,b cell:naive,naive B cell,CL:0000788,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000147,t cell:naive,naive T cell,CL:0000898,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000148,neuron,neuron,CL:0000540,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000149,pericyte,pericyte,CL:0000669,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000150,plasma cell,plasma cell,CL:0000786,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000151,stem cell,stem cell,CL:0000034,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000152,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,VCCF:0000153,transit amplifying cell,transit amplifying cell,CL:0009010,skos:exactMatch
esophagus-codex-stanford_L1,UBERON:0001043,VCCF:0000154,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch
esophagus-codex-stanford_L1,UBERON:0001043,VCCF:0000155,immune cell,leukocyte,CL:0000738,skos:exactMatch
esophagus-codex-stanford_L1,UBERON:0001043,VCCF:0000156,neural cell,neural cell,CL:0002319,skos:exactMatch
esophagus-codex-stanford_L1,UBERON:0001043,VCCF:0000157,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000158,gland epithelium cell,glandular secretory epithelial cell,CL:0000150,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000159,lymphoid cell,lymphocyte,CL:0000542,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000160,neuron,neuron,CL:0000540,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000161,paneth cell,paneth cell,CL:0000510,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000162,stromal cell,stromal cell,CL:0000499,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000163,b cell,B cell,CL:0000236,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000164,secretory cell of esophagus,glandular cell of esophagus,CL:0002657,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000165,muscle cell,muscle cell,CL:0000187,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000166,squamous epithelial cell,squamous epithelial cell,CL:0000076,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,VCCF:0000167,t cell,T cell,CL:0000084,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000168,glandular cell of esophagus,glandular cell of esophagus,CL:0002657,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000169,lymphoid cell:innate,innate lymphoid cell,CL:0001065,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000170,neuron,neuron,CL:0000540,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000171,paneth cell,paneth cell,CL:0000510,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000172,stromal cell:podoplanin+,stromal cell:podoplanin-positive,CL:0000499,skos:narrowMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000173,plasma cell,plasma cell,CL:0000786,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000174,epithelial cell:secretory,secretory epithelial cell,CL:1100001,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000175,muscle cell:smooth,smooth muscle cell of the esophagus,CL:0002599,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000176,squamous epithelial cell,squamous epithelial cell,CL:0000076,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000177,stromal cell,stromal cell,CL:0000499,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,VCCF:0000178,t cell,T cell,CL:0000084,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,VCCF:0000179,immune cell,leukocyte,CL:0000738,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,VCCF:0000180,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,VCCF:0000181,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch
