OMAP-12: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Retina with IBEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Colin J. Chu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCiD(s):,0000-0003-2088-8310 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Andrea J. Radtke;  Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCiD(s):,0000-0003-4379-8967; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1073/pnas.2018488117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM635.WJHB.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,
OMAP-12,P15104,HGNC:4341,GLUL,Mouse,IgG1,Monoclonal,1B6G4,Proteintech,CL488-66323,21003608,N ,,200,CoraLite Plus 488,AB_2883309,IBEX,1% PFA Fixed Frozen,1,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,Y,"Stains Muller glia in human retina, key macroglia. This represents a prioritized target for the Retina OMAP.",Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P16070,HGNC:1681,CD44,Rat,IgG2b,Monoclonal,IM7,AAT Bioquest,104410C0,2551342,N ,,200,iFluor 594,AB_2935685,IBEX,1% PFA Fixed Frozen,1,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Multiple cell structures including outer limiting membrane. This represents a prioritized target for the Retina OMAP.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P55008,HGNC:352,AIF1,Goat,IgG,Polyclonal,,Abcam,ab5076,1017905-1,N ,,100,Unconjugated,AB_2224402,IBEX,1% PFA Fixed Frozen,1,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Stains microglia in the human retina. This represents a prioritized target for the Retina OMAP.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,,,,Donkey,IgG,Polyclonal,,Thermo Fisher Scientific,A32816,WG320932,N ,,1000,AF Plus 555,AB_2762839,IBEX,1% PFA Fixed Frozen,1,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,"Used to detect Iba1, see above.",Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P17252,HGNC:9393,PRKCA,Mouse,IgG1 kappa,Monoclonal,H-7,Santa Cruz Biotechnology,sc-8393 AF680,K0520,N ,,100,AF680,AB_628142,IBEX,1% PFA Fixed Frozen,1,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,Y,"Stains bipolar cells in the human retina, core part of visual signalling. This represents a prioritized target for the Retina OMAP.",Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,Q14576,HGNC:3314,ELAVL3,Mouse,IgG2b kappa,Monoclonal,16A11,Thermo Fisher Scientific,A21271,2441512,N ,,100,Unconjugated,AB_221448,IBEX,1% PFA Fixed Frozen,1,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Stains a subset of ganglion cell nuclei in the human retina.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P17661,HGNC:2770,DES,Rabbit,IgG,Monoclonal,Y66,Abcam,Ab185033,GR32694056,Y,,100,AF488,AB_2892748,IBEX,1% PFA Fixed Frozen,2,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Multiple cell lineages including pericytes and astrocytes in the human retina. This represents a prioritized target for the Retina OMAP.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P58304,HGNC: 1975,VSX2,Mouse,IgG2a kappa,Monoclonal,E-12,Santa Cruz Biotechnology,sc-365519 AF546,12520,N ,,100,AF546,AB_10842442,IBEX,1% PFA Fixed Frozen,2,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Stains a subset of bipolar cell nuclei in the human retina.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P04000,HGNC:9936,OPN1LW,Rabbit,IgG,Polyclonal,,Merck,AB5405,3823289,N ,,50,Unconjugated,AB_177456,IBEX,1% PFA Fixed Frozen,2,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,Y,"Stains M/L-cone photoreceptors in the human retina, core part of visual signalling. This represents a prioritized target for the Retina OMAP.",Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P03999,HGNC:1012,OPN1SW,Rabbit,IgG,Polyclonal,,Merck,AB5407,3756539,N ,,100,Unconjugated,AB_177457,IBEX,1% PFA Fixed Frozen,2,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Stains S-cone photoreceptors in the human retina.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P05937,HGNC:1434,CALB1,Rabbit,IgG,Polyclonal,,Merck,ABN2192,3560008,N ,,100,Unconjugated,AB_2935805,IBEX,1% PFA Fixed Frozen,2,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,Y,"Stains multiple cell lineages including Amacrine, bipolar and cone photoreceptor cells in the human retina. This represents a prioritized target for the Retina OMAP.",Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,Q13509,HGNC:20772,TUBB3,Mouse,IgG2a kappa,Monoclonal,TUJ1,BioLegend,801203,B337034,N ,,100,AF488,AB_2564757,IBEX,1% PFA Fixed Frozen,3,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,Y,"Stains ganglion cell axons and nerve fibre layer in the human retina, core part of visual signalling",Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P36575,HGNC:710,ARR3,Mouse,IgG1 kappa,Monoclonal,7G6,Merck,MABN2636-100UG,3836431,N ,,100,Unconjugated,AB_2935804,IBEX,1% PFA Fixed Frozen,4,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Stains cone photoreceptors in the human retina. This represents a prioritized target for the Retina OMAP.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
OMAP-12,P56199,HGNC:6134,ITGA1,Mouse,IgG1,Monoclonal,TS2/7,BioLegend,328310,B310657,N ,,100,AF647,AB_2129242,IBEX,1% PFA Fixed Frozen,5,,"10.1073/pnas.2018488117, 10.1038/s41596-021-00644-9",0000-0003-2088-8310 ,N,Multiple cell lineages. Stains vasculature in the retina. This represents a prioritized target for the Retina OMAP.,Retina,UBERON:0000966,,,,,,,,,,,,,,,,,,
