node_name,OntologyID,label
VH_M_spinal_cord,UBERON:0002240,spinal cord
VH_M_C1_segment_of_cervical_spinal_cord,UBERON:0006469,C1 segment of cervical spinal cord
VH_M_C2_segment_of_cervical_spinal_cord,UBERON:0006489,C2 segment of cervical spinal cord
VH_M_C3_segment_of_cervical_spinal_cord,UBERON:0006488,C3 segment of cervical spinal cord
VH_M_C4_segment_of_cervical_spinal_cord,UBERON:0006490,C4 segment of cervical spinal cord
VH_M_C5_segment_of_cervical_spinal_cord,UBERON:0006491,C5 segment of cervical spinal cord
VH_M_C6_segment_of_cervical_spinal_cord,UBERON:0006492,C6 segment of cervical spinal cord
VH_M_C7_segment_of_cervical_spinal_cord,UBERON:0006493,C7 segment of cervical spinal cord
VH_M_C8_segment_of_cervical_spinal_cord,UBERON:0006470,C8 segment of cervical spinal cord
VH_M_first_thoracic_spinal_cord_segment,UBERON:0006457,first thoracic spinal cord segment
VH_M_second_thoracic_spinal_cord_segment,UBERON:0006458,second thoracic spinal cord segment
VH_M_third_thoracic_spinal_cord_segment,UBERON:0006459,third thoracic spinal cord segment
VH_M_fourth_thoracic_spinal_cord_segment,UBERON:0006452,fourth thoracic spinal cord segment
VH_M_fifth_thoracic_spinal_cord_segment,UBERON:0006453,fifth thoracic spinal cord segment
VH_M_sixth_thoracic_spinal_cord_segment,UBERON:0006454,sixth thoracic spinal cord segment
VH_M_seventh_thoracic_spinal_cord_segment,UBERON:0006455,seventh thoracic spinal cord segment
VH_M_eighth_thoracic_spinal_cord_segment,UBERON:0006456,eighth thoracic spinal cord segment
VH_M_ninth_thoracic_spinal_cord_segment,UBERON:0006465,ninth thoracic spinal cord segment
VH_M_tenth_thoracic_spinal_cord_segment,UBERON:0006466,tenth thoracic spinal cord segment
VH_M_eleventh_thoracic_spinal_cord_segment,UBERON:0006467,eleventh thoracic spinal cord segment
VH_M_twelfth_thoracic_spinal_cord_segment,UBERON:0006468,twelfth thoracic spinal cord segment
VH_M_first_lumbar_spinal_cord_segment,UBERON:0006448,first lumbar spinal cord segment
VH_M_second_lumbar_spinal_cord_segment,UBERON:0006450,second lumbar spinal cord segment
VH_M_third_lumbar_spinal_cord_segment,UBERON:0006449,third lumbar spinal cord segment
VH_M_fourth_lumbar_spinal_cord_segment,UBERON:0006451,fourth lumbar spinal cord segment
VH_M_fifth_lumbar_spinal_cord_segment,UBERON:0006447,fifth lumbar spinal cord segment
VH_M_first_sacral_spinal_cord_segment,UBERON:0006460,first sacral spinal cord segment
VH_M_second_sacral_spinal_cord_segment,UBERON:0006461,second sacral spinal cord segment
VH_M_third_sacral_spinal_cord_segment,UBERON:0006462,third sacral spinal cord segment
VH_M_fourth_sacral_spinal_cord_segment,UBERON:0006463,fourth sacral spinal cord segment
VH_M_fifth_sacral_spinal_cord_segment,UBERON:0006464,fifth sacral spinal cord segment
