OMAP-33: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Ovary with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Elizabeth Tsui; Hannah McDowell; Alexander Cabrera; Diane Saunders; Kathleen O'Neill; Monica Laronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Andrea J. Radtke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1038/s41596-021-00556-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM795.NKPR.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"December 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,,
OMAP-33,O00501,HGNC:2047,CLDN5,Mouse,IgG1,Monoclonal,4C3C2,Thermo Fisher Scientific,35-2500,,N,,75,Oligonucleotide,AB_2533200,CODEX,FFPE,1,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,This marker defines vascular endothelial cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P11836,HGNC:7315,MS4A1,Mouse,IgG2a,Monoclonal,L26,Akoya Biosciences,4450094,,N,,200,Oligonucleotide,AB_3094498,CODEX,FFPE,1,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,This marker defines B cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P16070,HGNC:1681,CD44,Rat,IgG2b,Monoclonal,IM7,Akoya Biosciences,4250002,,N,,200,Oligonucleotide,AB_3271530,CODEX,FFPE,1,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,This marker defines activated T cells and other mesenchymal cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P09619,HGNC:8804,PDGFRB,Rabbit,IgG,Monoclonal,EPR26830-84,Abcam,ab313778,,Y,,100,Oligonucleotide,AB_3696060,CODEX,FFPE,2,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,This marker defines a subset of stromal and perivascular cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P60709,HGNC:132,ACTB,Rat,IgG2a,Monoclonal,W16197A,Akoya Biosciences,4450092,,N,,250,Oligonucleotide,AB_3662761,CODEX,FFPE,2,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,This marker defines epithelial cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P12830,HGNC:1748,CDH1,Mouse,IgG1,Monoclonal,4A2C7,Akoya Biosciences,4250021,,Y,,200,Oligonucleotide,AB_2895057,CODEX,FFPE,2,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,This marker defines epithelial cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P02462,HGNC:2202,COL4A1,Rabbit,IgG,Monoclonal,EPR20966,Akoya Biosciences,4550122,,Y,,200,Oligonucleotide,AB_2927676,CODEX,FFPE,3,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,,This marker defines extracellular matrix.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P08670,HGNC:12692,VIM,Mouse,IgG2a,Monoclonal,O91D3,Akoya Biosciences,4450050,,N,,400,Oligonucleotide,AB_2935889,CODEX,FFPE,3,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,N,"This marker defines fibroblasts, stromal cells, and portions of extracellular matrix.",Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P35222,HGNC:2514,CTNNB1,Mouse,IgG1,Monoclonal,12F7,Akoya Biosciences,4250091,,N,,200,Oligonucleotide,AB_3082978,CODEX,FFPE,3,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,N,This marker defines epithelial cells and a subset of granulosa and theca cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
OMAP-33,P07766,HGNC:1674,CD3E,Rabbit,IgG,Monoclonal,EP449E,Akoya Biosciences,4550119,,Y,,200,Oligonucleotide,AB_2936080,CODEX,FFPE,4,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0000-0003-4503-8494; 0000-0002-6641-0753; 0009-0007-0189-026X; 0000-0002-8849-6746; 0000-0003-1980-6840; 0000-0001-7840-4695,N,This marker defines T cells.,Ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,
