Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Lung with Cell DIVE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Christine Surrette, Lisa Lowery, Gloria Pryhuber,Gail Deutsch, Fiona Ginty",,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,"0000-0002-7334-4571, 0000-0002-9143-6509, 0000-0002-9185-3994, 0000-0002-0571-0285, 0000-0001-6638-683X",,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"James Hagood, Gail Deutsch, Christopher Werlein, Andrea J. Radtke, Ellen M. Quardokus",,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,"0000-0003-3938-0330, 0000-0002-0571-0285, 0000-0002-7694-4257, 0000-0003-4379-896, 0000-0001-7655-4833",,,,,,,,,,,,,,,,,,,,,
General Publication(s):,doi: 10.1016/j.devcel.2021.11.007; 10.1073/pnas.1300136110,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM366.RQZK.248,,,,,,,,,,,,,,,,,,,,,
Date:,"May 6, 2022",,,,,,,,,,,,,,,,,,,,,
Version number,v1.0,,,,,,,,,,,,,,,,,,,,,
uniprot_accession_number,HGNC_ID,target_name,antibody_name,host_organism,clonality,vendor,catalog_number,lot_number,recombinant,Dilution/Concentration,Conjugate,RRID,Application,Method,Tissue Preservation,Cycle Number,Fluorescent reporter,DOI for Protocol,ORCID ID of Author,Core Panel (4-6 markers),Essential 25-plex,Rationale
Q99758,HGNC:33,ABCA3,anti-ABCA3,Rabbit IgG,polyclonal,Novus,NBP1-89310,17619,N,0.1,Cy3 secondary detection,AB_11041643,IHC,Cell DIVE,FFPE,1,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,Y,"Cell type - alveolar epithelial cells, AT2/Type II Pneumocyte CL:0002063"
,,,Cy™3 AffiniPure F(ab')₂ Fragment Donkey Anti-Rabbit IgG (H+L),Donkey IgG,Polyclonal,Jackson,711-166-152,149764 ,N,5,Cy3,AB_2313568,IHC,Cell DIVE,FFPE,1,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,"Used to detect ABCA3, see above"
P35228,HGNC:7873,eNOS,anti-eNOS,Mouse IgG1,monoclonal M221,Abcam,ab76198,GR3360022-3,N,0.25,Cy5 secondary detection,AB_1310183,IHC,Cell DIVE,FFPE,1,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type - Endothelial CL:0000115, Induced by hypoxia and inflammation"
,,,Alexa Fluor® 647 AffiniPure F(ab')₂ Fragment Donkey Anti-Mouse IgG (H+L),Donkey IgG,Polyclonal,Jackson,715-606-150,138538,N,5,Alexa Fluor 647,AB_2340865,IHC,Cell DIVE,FFPE,1,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,"Used to detect eNOS, see above"
P30556,HGNC:336,AGTR1 / AT1 Receptor,anti-AT1R,Rabbit IgG,polyclonal,LS Bio,LS-C407684-100,195217,N,5,Cy3,AB_2905497,IHC,Cell DIVE,FFPE,2,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,RAS Pathway/Activation
P35228,HGNC:7873,iNOS,anti-iNOS,Mouse IgG1,monoclonal 4E5,Novus,NBP2-22119,A-4,Y,5,Cy5,AB_2905500,IHC,Cell DIVE,FFPE,2,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type - M1 Macrophages, Inflammation; Interstitial Macrophage LMHA:00213; Alveolar Macrophage CL:0000583;"
P05362,HGNC:5344,ICAM-1,anti-ICAM-1,Mouse IgG2a,monoclonal G-5,Santa Cruz,sc-8439 AF647,H3019,N,15,AF647,AB_2905502,IHC,Cell DIVE,FFPE,3,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,"RAS Pathway/Activation, Endothelial cell activation"
Q9Y5Y7,HGNC:14687,LYVE-1,anti-LYVE-1,Goat IgG,polyclonal,R&D Systems,AF2089-SP,KPY0120121,N,7.5,Cy3,AB_355144,IHC,Cell DIVE,FFPE,3,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,Y,Cell type - Endothelial cell of Lymphatic Vessel; CL:0002138
P07711,HGNC:2537,Cathepsin L,anti-Cathepsin L,Mouse IgG1,monoclonal 33/2,Novus,NB100-1775,07M4845V,N,10,Cy5,AB_10124480,IHC,Cell DIVE,FFPE,4,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,Viral entry
O15393,HGNC:11876,TMPRSS2,anti-TMPRSS2,Rabbit IgG,monoclonal EPR3861,Abcam,ab239905,"GR329302-2
 GR3293024-4",Y,5,Cy3,AB_2905504,IHC,Cell DIVE,FFPE,4,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,Cleaves ACE2 to internalize virus
