"Anatomical Structures, Cell Types and Biomarkers Table for Heart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Shin Lin; Marc Halushka; Avinash Boppana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-0118-0413; 0000-0002-7112-7389; 0000-0003-0834-8274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Kalyanam Shivkumar; Peter Hanna; Ellen M. Quardokus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-4121-1766; 0000-0003-3092-5090; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/ 10.1038/s41586-020-2797-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM885.QSGJ.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"December 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/3/NOTE,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,Combined gene Markers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/1/NOTES,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/2/NOTES,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/3/NOTES,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/4/NOTES,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/ID,REF/1/NOTES,REF/2,REF/2/ID,REF/2/NOTES
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,sinoatrial node,sinoatrial node,UBERON:0002351,,pacemaker cell,cardiac pacemaker cell of sinoatrial node,CL:1000477,,,,,,,,"HCN4, Cx45",HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,HGNC:16882,,GJC1,gap junction protein gamma 1,HGNC:4280,alias Cx45,,,,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,sinoatrial nodal artery,Sinoatrial nodal branch of right coronary artery,FMA:3823,,endothelial cell,endothelial cell of artery,CL:1000413,,,,,,,,"PECAM1, VWF, CDH5",PECAM1,platelet and endothelial cell adhesion molecule 1,HGNC:8823,,VWF,von Willebrand factor,HGNC:12726,,CDH5,cadherin 5,HGNC:1764,,,,,,,,,,,"arises from the right coronary artery in around 60% of people. In about 40% of cases, the sinoatrial artery is a branch of the left circumflex coronary artery",,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,sinoatrial nodal artery,Sinoatrial nodal branch of right coronary artery,FMA:3823,,smooth muscle cell,smooth muscle cell of the coronary artery,CL:0002592,,,,,,,,"MYH11,TAGLN,ACTA2",MYH11,myosin heavy chain 11,HGNC:7569,,TAGLN,transgelin,HGNC:11553,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,sinoatrial nodal artery,Sinoatrial nodal branch of right coronary artery,FMA:3823,,fibroblast,fibroblast,CL:0000057,,,,,,,,"PDGFRA, GSN, DCN",PDGFRA,platelet derived growth factor receptor alpha,HGNC:8803,,GSN,gelsolin,HGNC:4620,,DCN,decorin,HGNC:2705,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,internodal tract,anterior internodal tract of the right atrium,UBERON:0009966,,myocyte of anterior internodal tract,myocyte of anterior internodal tract,CL:1000287,,,,,,,,"NPPA, MYL4, MYL7",NPPA,natriuretic peptide A,HGNC:7939,,MYL4,myosin light chain 4,HGNC:7585,,MYL7,myosin light chain 7,HGNC:21719,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,internodal tract,middle internodal tract of the right atrium,UBERON:0009966,,myocyte of middle internodal tract,myocyte of middle internodal tract,CL:1000290,,,,,,,,"NPPA, MYL4, MYL7",NPPA,natriuretic peptide A,HGNC:7939,,MYL4,myosin light chain 4,HGNC:7585,,MYL7,myosin light chain 7,HGNC:21719,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,internodal tract,posterior internodal tract of the right atrium,UBERON:0009966,,myocyte of posterior internodal tract,myocyte of posterior internodal tract,CL:1000291,,,,,,,,"NPPA, MYL4, MYL7",NPPA,natriuretic peptide A,HGNC:7939,,MYL4,myosin light chain 4,HGNC:7585,,MYL7,myosin light chain 7,HGNC:21719,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle of right atrium,UBERON:0003379,,cardiomyocyte,cardiac muscle cell,CL:0000746,,,,,,,,"NPPA, MYL4, MYL7",NPPA,natriuretic peptide A,HGNC:7939,,MYL4,myosin light chain 4,HGNC:7585,,MYL7,myosin light chain 7,HGNC:21719,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle of right atrium,UBERON:0003379,,fibroblast,cardiac atrium fibroblast,CL:2000067,,,,,,,,"PDGFRA, GSN, DCN",PDGFRA,platelet derived growth factor receptor alpha,HGNC:8803,,GSN,gelsolin,HGNC:4620,,DCN,decorin,HGNC:2705,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle of right atrium,UBERON:0003379,,macrophage,macrophage,CL:0000235,,,,,,,,"CD14,C1QA,CD68, FOLR2",CD14,CD14 molecule,HGNC:1628,,C1QA,complement C1q A chain,HGNC:1241,,CD68,CD68 molecule,HGNC:1693,,FOLR2,folate receptor beta,HGNC:3793,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle of right atrium,UBERON:0003379,,Schwann Cell,Schwann cell,CL:0002573,,,,,,,,"PLP1, NRXN1, NRXN3",PLP1,proteolipid protein 1,HGNC:9086,,NRXN1,neurexin 1,HGNC:8008,,NRXN3,neurexin 3,HGNC:8010,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle tissue of interatrial septum,UBERON:0004491,,mast cell,mast cell,CL:0000097,,,,,,,,"CD117, MS4A2",CD117,"KIT proto-oncogene, receptor tyrosine kinase ",HGNC:6342,,MS4A2,Membrane Spanning 4-Domains A2,HGNC:7316,,,,,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle tissue of interatrial septum,UBERON:0004491,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,,,,,,,,"LYVE1, PDPN",LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,HGNC:14687,,PDPN,podoplanin,HGNC:29602,,,,,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle tissue of interatrial septum,UBERON:0004491,,B lymphocyte,B cell,CL:0000236,,,,,,,,"CD19, CD20",CD19,B-Lymphocyte Surface Antigen B4,HGNC:1633,,CD20,Membrane Spanning 4-Domains A1,HGNC:7315,,,,,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle tissue of interatrial septum,UBERON:0004491,,NK/T lymphocyte,natural killer cell,CL:0000623,,,,,,,,"NKG7, GNLY,  GZMA,",NKG7,natural killer cell granule protein 7,HGNC:7830,,GNLY,granulysin,HGNC:4414,,GZMA,granzyme A,HGNC:4708,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle tissue of interatrial septum,UBERON:0004491,,Innate lymphoid cell,Innate lymphoid cell,CL:0001065,,,,,,,,CD127,CD127,interleukin 7 receptor,HGNC:6024,,,,,,,,,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle tissue of interatrial septum,UBERON:0004491,,endocardial cell,endocardial cell,CL:0002350,,,,,,,,"NPR3, PCDH7",NPR3,natriuretic peptide receptor 3,HGNC:7945,,PCDH7,protocadherin 7,HGNC:8659,,,,,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,myocardium,cardiac muscle tissue of interatrial septum,UBERON:0004491,,cardiomyocyte,cardiac muscle cell,CL:0000746,,,,,,,,"NPPA, MYL4, MYL7",NPPA,natriuretic peptide A,HGNC:7939,,MYL4,myosin light chain 4,HGNC:7585,,MYL7,myosin light chain 7,HGNC:21719,,,,,,,,,,,,,,
heart,heart,UBERON:0000948,right atrium,right cardiac atrium,UBERON:0002078,vasculature,vasculature,UBERON:0002049,,endothelial cell,cardiac endothelial cell,CL:0010008,,,,,,,,"PECAM1, VWF, CDH5",PECAM1,platelet and endothelial cell adhesion molecule 1,HGNC:8823,,VWF,von Willebrand factor,HGNC:12726,,CDH5,cadherin 5,HGNC:1764,,,,,,,,,,,,,,
