OMAP-7 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Lung with Cell DIVE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Christine Surrette; Lisa Lowery; Gloria Pryhuber; Gail Deutsch; Fiona Ginty,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-7334-457; 0000-0002-9143-6509; 0000-0002-9185-3994; 0000-0002-0571-0285; 0000-0001-6638-683X,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,James Hagood; Gail Deutsch; Christopher Werlein; Andrea J. Radtke; Ellen M. Quardokus; Diane C. Saunders; Anna Martinez Casals; Presha Rajbhandari,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-3938-0330; 0000-0002-0571-0285; 0000-0002-7694-4257; 0000-0003-4379-8967; 0000-0001-7655-4833; 0000-0002-8849-6746; 0000-0003-2722-1965; 0000-0003-2184-7238,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1016/j.devcel.2021.11.007; https://doi.org/10.1073/pnas.1300136110,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Version number,v1.5,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon
OMAP-7,Q99758,HGNC:33,ABCA3,Rabbit,IgG,Polyclonal, ,Novus Biologicals,NBP1-89310,17619,N,0.1,,Cy3 secondary detection,AB_11041643,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,"Defines alveolar epithelial cells, specifically AT2/Type II pneumocytes. This marker represents a core panel and prioritized target in the lung OMAP.",lung,UBERON:0002048
OMAP-7,,,,Donkey,IgG,Polyclonal,,Jackson,711-166-152,149764 ,N,5,,Cy3,AB_2313568,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,"Used to detect ABCA3, see above.",lung,UBERON:0002048
OMAP-7,P29474,HGNC:7876,NOS3,Mouse,IgG1,,M221,Abcam,ab76198,GR3360022-3,N,0.25,,Cy5 secondary detection,AB_1310183,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Defines endothelial cells. Induced by hypoxia and inflammation. This marker represents a prioritized target in the lung OMAP.,lung,UBERON:0002048
OMAP-7,,,,Donkey,IgG,Polyclonal,,Jackson,715-606-150,138538,N,5,,AF647,AB_2340865,Cell DIVE,FFPE,1,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,"Used to detect eNOS, see above.",lung,UBERON:0002048
OMAP-7,P30556,HGNC:336,AGTR1,Rabbit,IgG,Polyclonal,,LS Bio,LS-C407684-100,195217,N,5,,Cy3,AB_2905497,Cell DIVE,FFPE,2,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Used to understand the RAS Pathway/Activation.,lung,UBERON:0002048
OMAP-7,P35228,HGNC:7873,NOS2,Mouse,IgG1,,4E5,Novus Biologicals,NBP2-22119,A-4,Y,5,,Cy5,AB_2905500,Cell DIVE,FFPE,2,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,"Defines M1 macrophages, interstitial macrophages, and alveolar macrophages. Used to understand inflammation. This marker represents a prioritized target in the lung OMAP.",lung,UBERON:0002048
OMAP-7,P05362,HGNC:5344,ICAM1,Mouse,IgG2a,,G-5,Santa Cruz,sc-8439 AF647,H3019,N,15,,AF647,AB_2905502,Cell DIVE,FFPE,3,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Used to understand the RAS Pathway/Activaton as well as endothelial cell activation.,lung,UBERON:0002048
OMAP-7,Q9Y5Y7,HGNC:14687,LYVE1,Goat,IgG,Polyclonal,,R&D Systems,AF2089-SP,KPY0120121,N,7.5,,Cy3,AB_355144,Cell DIVE,FFPE,3,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,Defines lymphatic endothelial cells and lymphatic vessels. This marker represents a core panel and prioritized target in the lung OMAP.,lung,UBERON:0002048
OMAP-7,P07711,HGNC:2537,CTSL,Mouse,IgG1,,33/2,Novus Biologicals,NB100-1775,07M4845V,N,10,,Cy5,AB_10124480,Cell DIVE,FFPE,4,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Used to understand viral entry.,lung,UBERON:0002048
OMAP-7,O15393,HGNC:11876,TMPRSS2,Rabbit,IgG,,EPR3861,Abcam,ab239905,"GR329302-2, GR3293024-4",Y,5,,Cy3,AB_2905504,Cell DIVE,FFPE,4,,https://doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Used to understand viral entry. Cleaves ACE2 to internalize virus.,lung,UBERON:0002048
