OMAP-23: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of vermiform appendix (FFPE) with MICS on MACSima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Werner Müller; Julia Femel; Andreas Bosio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCiD(s):,0000-0002-1297-9725; 0009-0008-1003-987X; 0000-0001-9776-2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Andrea J. Radtke; Diane C. Saunders; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCiD(s):,0000-0003-4379-8967; 0000-0002-8849-6746; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1038/s41598-022-05841-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM554.CZZX.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"December 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,,
OMAP-23,P07766,HGNC:1674,CD3E,Human,IgG1,Monoclonal,REA1151,Miltenyi Biotec,130-120-269,,Y,,50,APC,AB_2876933,MICS,FFPE,1,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,CD3 epsilon defines T cell zone and is an essential marker of T cells. This marker represents a core panel and prioritized target in the vermiform appendix OMAP.,vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,Q9NZQ7,HGNC:17635,CD274,Human,IgG1,Monoclonal,REA1197,Miltenyi Biotec,130-122-815,,Y,,50,PE,AB_2811398,MICS,FFPE,1,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,"CD274 antibody detects the PD-1 protein (death receptor ligand) expressed on activated T cells, B cells, dendritic cells (DCs), antigen-presenting cells, keratinocytes, monocytes, and various types of tumor cells. In the vermiform appendix it is presend in the germinal center and in the epithelia cell area. It does Nt represent a priroritized target in vermiform appendix OMAP.",vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,Q15116,HGNC:8760,PDCD1,Human,IgG1,Monoclonal,REA1165,Miltenyi Biotec,130-120-382,,Y,,25,PE,AB_2752069,MICS,FFPE,2,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,"CD279, also called programmed death receptor 1, is expressed on some T cells, B cells, macrophages and is recognised by the programmed cell death receptor ligand.",vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,Q9BZS1,HGNC:6106,FOXP3,Human,IgG1,Monoclonal,REA1253,Miltenyi Biotec,130-127-808,,Y,,10,PE,AB_2905207,MICS,FFPE,3,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,FoxP3 is expressed by T regulatory cells and T follicular regulatory cells. This marker represents a prioritized target in the vermiform appendix OMAP. ,vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,P01732,HGNC:1706,CD8A,Human,IgG1,Monoclonal,REA1024,Miltenyi Biotec,130-117-202,,Y,,50,APC,AB_2857416,MICS,FFPE,3,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,Y,CD8alpha is expressed on the CD8 positive subset of T cells. It is also expressed on a macrophage subset. This marker represents a prioritized target in the vermiform appendix OMAP.,vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,P31997,HGNC:1820,CEACAM8,Human,IgG1,Monoclonal,REA306,Miltenyi Biotec,130-123-694,,Y,,25,FITC,AB_2802056,MICS,FFPE,4,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,"CD66b, also known as CEACAM8, is expressed on granulocytes and particulary high in activated neutrophils. It can also be expressed on epithelia cells.",vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,P01730,HGNC:1678,CD4,Human,IgG1,Monoclonal,REA1307,Miltenyi Biotec,130-127-906,,Y,,50,PE,AB_2921815,MICS,FFPE,4,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD4 is expressed by subsets of T cells. This marker is also expressed on a subset of myeloid cells. This marker represents a prioritized target in the vermiform appendix OMAP.,vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,P13591,HGNC:7656,NCAM1,Human,IgG1,Monoclonal,REAL1142,Miltenyi Biotec,130-128-467,,Y,,25,FITC,AB_2905078,MICS,FFPE,5,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,CD56 or NCAM-1 is expressed on Glia cells and in this context on NK cells and a subset of T cells. It can also be expressed on skeletal muscle cells.,vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,Q86YL7,HGNC:29602,PDPN,Human,IgG1,Monoclonal,REA446,Miltenyi Biotec,130-126-165,,Y,,50,APC,AB_2905370,MICS,FFPE,5,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,Podoplanin stains lymphatic vessels (absent in vermiform appendix) and is also expressed on Stroma and subset of Epithelia cells.,vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
OMAP-23,P09874,HGNC:270,PARP1,Human,IgG1,Monoclonal,REA1316,Miltenyi Biotec,130-128-159,,Y,,50,PE,AB_2928600,MICS,FFPE,5,,https://doi.org/10.1101/2023.10.27.564191,0000-0002-1297-9725,N,Cleaved PARP1 is expressed in aptoptotic cells. In the vermiform appendix such cells can be found in the germinal centre (also cell fragments),vermiform appendix,UBERON:0001154,,,,,,,,,,,,,,,,,,,
