OMAP-1 Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Lymph Node with IBEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Andrea J. Radtke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Elaine Jaffe; Stefania Pittaluga; Ronald N. Germain;  Ellen Quardokus; Christopher Werlein; Diane C. Saunders; Anna Martinez Casals; Presha Rajbhandari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4632-0301; 0000-0001-7688-1439; 0000-0003-1495-9143; 0000-0001-7655-4833; 0000-0002-7694-4257; 0000-0002-8849-6746; 0000-0003-2722-1965; 0000-0003-2184-7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1073/pnas.2018488117; https://doi.org/10.1038/s41596-021-00644-9; https://doi.org/10.1101/2022.06.03.494716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM656.VQRD.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,
OMAP-1,P11836,HGNC:7315,MS4A1,Mouse,IgG2b kappa,Monoclonal,L26,Thermo Fisher Scientific,53-0202-82,2141141,N,2.5,,AF488,AB_10734358,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,Defines B cell follicles and is an essential marker of B cells. This marker represents a prioritized target in the lymph node OMAP.,lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P09486,HGNC:11219,SPARC,Goat,IgG,Polyclonal,,R&D Systems,AF941,EWN1616101,N,10,,AF532,AB_2892754,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,"Targets a secreted extracellular matrix-associated protein involved in a number of biological processes including tissue remodeling and fibrosis. Protein is present on several distinct lineages including fibroblasts, capillary endothelial cells, platelets, and macrophages. This marker is not a prioritized target in the lymph node OMAP but can be used to evaluate tingible body macrophages in the germinal center and stromal remodeling during malignancy.",lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P08473,HGNC:7154,MME,Mouse,IgG1 kappa,Monoclonal,HI10a,BioLegend,312204,B264775,N,1,,PE,AB_314915,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,"Defines neutrophils, follicular lymphoma B cells, and germinal center B cells (low expression). This marker is not a prioritized target in the healthy lymph node OMAP.",lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P07766,HGNC:1674,CD3E,Mouse,IgG1,Monoclonal,UCHT1,BioLegend,300446,B300588,N,2.5,,AF594,AB_2563236,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,Y,Defines T cell zone and is an essential marker of T cells. This marker represents a core panel and prioritized target in the lymph node OMAP.,lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P10415,HGNC:990,BCL2,Mouse,IgG1,Monoclonal,100,BioLegend,658705,B266409,N,1,,AF647,AB_2563279,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,Targets an anti-apoptotic protein highly expressed in mantle zone B cells and follicular lymphoma tumor B cells. This marker can be used to define the mantle zone (high expression) and germinal center (negative) in healthy lymph nodes. This marker is not a prioritized target in the healthy lymph node OMAP.,lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P02462,HGNC:2202,COL4A1,Rabbit,IgG,Polyclonal,,Abcam,Ab6586,GR3317997-3,N,1,,Unconjugated,AB_305584,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,Defines lymph node capsule and extracellular matrix components of the lymph node conduit network. This marker is not a prioritized target in the healthy lymph node OMAP and can be substituted with Lumican.,lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,,,,Goat,IgG,Polyclonal,,Thermo Fisher Scientific,A-21038,1951988,N,4,,AF700,AB_2535709,IBEX,1% PFA fixed frozen,1,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,"Secondary antibody used to detect Collagen IV, see above.",lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P01880,HGNC:5480,IGHD,Mouse,IgG2b kappa,Monoclonal,IA6-2,BioLegend,348216,B257190,N,4,,AF488,AB_11150595,IBEX,1% PFA fixed frozen,2,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,Defines naive B cells enriched in the mantle zones and primary follicles of lymph node. This antibody has a poor signal-to-noise ratio and can be replaced with BCL2 or CD1c antibodies and/or amplified. This marker represents a prioritized target in the lymph node OMAP.,lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P20023,HGNC:2336,CR2,Mouse,IgG1 kappa,Monoclonal,Bu32,BioLegend,354902,B268709,N,1,,AF532,AB_2892739,IBEX,1% PFA fixed frozen,2,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,"Defines follicular dendritic cell meshworks in primary follicles, secondary follicles, and germinal centers. This marker is essential for defining follicular dendritic cells and represents a prioritized target in the lymph node OMAP.",lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
OMAP-1,P18827,HGNC:10658,SDC1,Mouse,IgG1 kappa,Monoclonal,MI15,BioLegend,356504,B281497,N,2,,PE,AB_2561878,IBEX,1% PFA fixed frozen,2,,"https://doi.org/10.1073/pnas.2018488117, https://doi.org/10.1038/s41596-021-00644-9",0000-0003-4379-8967,N,This marker cannot define an anatomical structure alone but targets an essential marker for plasma cells and epithelial cells derived from metastases in the lymph node.  This marker represents a prioritized target in the lymph node OMAP.,lymph node,UBERON:0000029,,,,,,,,,,,,,,,,,,
