node_name,OntologyID,label
VH_F_renal_calyx_R,UBERON:0006517,kidney calyx
VH_F_minor_calyx_R,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_a,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_b,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_c,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_d,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_e,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_f,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_g,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_h,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_i,UBERON:0001227,minor calyx
VH_F_minor_calyx_R_j,UBERON:0001227,minor calyx
VH_F_major_calyx_R,UBERON:0001226,major calyx
VH_F_major_calyx_R_a,UBERON:0001226,major calyx
VH_F_major_calyx_R_b,UBERON:0001226,major calyx
VH_F_major_calyx_R_c,UBERON:0001226,major calyx
VH_F_renal_pelvis_R,UBERON:0001224,renal pelvis
VH_F_right_ureter,UBERON:0001222,right ureter
