anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHMBloodVasculature,VH_M_blood_vasculature,blood vasculature,UBERON:0004537,http://purl.obolibrary.org/obo/UBERON_0004537
#VHMBloodVasculature,VH_M_blood_vasculature_of_eye,vasculature of eye,UBERON:0002203,http://purl.obolibrary.org/obo/UBERON_0002203
#VHMBloodVasculature,VH_M_ophthalmic_vein_L,ophthalmic vein,UBERON:0011191,http://purl.obolibrary.org/obo/UBERON_0011191
#VHMBloodVasculature,VH_M_superior_ophthalmic_vein_L,Left superior ophthalmic vein,FMA:51249,http://purl.org/sig/ont/fma/fma51249
#VHMBloodVasculature,VH_M_inferior_ophthalmic_vein_L,Left inferior ophthalmic vein,FMA:51251,http://purl.org/sig/ont/fma/fma51251
#VHMBloodVasculature,VH_M_central_retinal_vein_L,Left central retinal vein,FMA:51885,http://purl.org/sig/ont/fma/fma51885
#VHMBloodVasculature,VH_M_ophthalmic_vein_R,ophthalmic vein,UBERON:0011191,http://purl.obolibrary.org/obo/UBERON_0011191
#VHMBloodVasculature,VH_M_superior_ophthalmic_vein_R,Right superior ophthalmic vein,FMA:51248,http://purl.org/sig/ont/fma/fma51248
#VHMBloodVasculature,VH_M_inferior_ophthalmic_vein_R,Right inferior ophthalmic vein,FMA:51250,http://purl.org/sig/ont/fma/fma51250
#VHMBloodVasculature,VH_M_central_retinal_vein_R,Right central retinal vein,FMA:51884,http://purl.org/sig/ont/fma/fma51884
#VHMBloodVasculature,VH_M_central_retinal_artery_L,Left central retinal artery,FMA:49881,http://purl.org/sig/ont/fma/fma49881
#VHMBloodVasculature,VH_M_opthalmic_artery_L,ophthalmic artery,UBERON:0001619,http://purl.obolibrary.org/obo/UBERON_0001619
#VHMBloodVasculature,VH_M_long_posterior_ciliary_artery_L,Left long posterior ciliary artery,FMA:49958,http://purl.org/sig/ont/fma/fma49958
#VHMBloodVasculature,VH_M_central_retinal_artery_R,Right central retinal artery,FMA:49880,http://purl.org/sig/ont/fma/fma49880
#VHMBloodVasculature,VH_M_opthalmic_artery_R,ophthalmic artery,UBERON:0001619,http://purl.obolibrary.org/obo/UBERON_0001619
#VHMBloodVasculature,VH_M_long_posterior_ciliary_artery_R,Right long posterior ciliary artery,FMA:49957,http://purl.org/sig/ont/fma/fma49957
#VHMBloodVasculature,VH_M_inferior_mesenteric_vein,inferior mesenteric vein,UBERON:0001215,http://purl.obolibrary.org/obo/UBERON_0001215
#VHMBloodVasculature,VH_M_median_sacral_vein,median sacral vein,UBERON:0006687,http://purl.obolibrary.org/obo/UBERON_0006687
#VHMBloodVasculature,VH_M_sigmoid_vein,sigmoid vein,FMA:15395,http://purl.org/sig/ont/fma/fma15395
#VHMBloodVasculature,VH_M_superior_mesenteric_vein,superior mesenteric artery,UBERON:0001182,http://purl.obolibrary.org/obo/UBERON_0001182
#VHMBloodVasculature,VH_M_superior_rectal_vein,superior rectal artery,UBERON:0035040,http://purl.obolibrary.org/obo/UBERON_0035040
#VHMBloodVasculature,VH_M_common_iliac_vein,common iliac vein,UBERON:0001139,http://purl.obolibrary.org/obo/UBERON_0001139
#VHMBloodVasculature,VH_M_common_iliac_vein_L,Left common iliac vein,FMA:21388,http://purl.org/sig/ont/fma/fma21388
#VHMBloodVasculature,VH_M_common_iliac_vein_R,Right common iliac vein,FMA:21387,http://purl.org/sig/ont/fma/fma21387
#VHMBloodVasculature,VH_M_inferior_pancreaticoduodenal_vein,Inferior pancreaticoduodenal vein,FMA:0329299,http://purl.org/sig/ont/fma/fma0329299
#VHMBloodVasculature,VH_M_external_iliac_vein,external iliac vein,UBERON:0001316,http://purl.obolibrary.org/obo/UBERON_0001316
#VHMBloodVasculature,VH_M_external_iliac_vein_L,external iliac vein,UBERON:0001316,http://purl.obolibrary.org/obo/UBERON_0001316
#VHMBloodVasculature,VH_M_external_iliac_vein_R,external iliac vein,UBERON:0001316,http://purl.obolibrary.org/obo/UBERON_0001316
#VHMBloodVasculature,VH_M_inferior_rectal_vein,Inferior rectal vein,FMA:21242,http://purl.org/sig/ont/fma/fma21242
#VHMBloodVasculature,VH_M_inferior_rectal_vein_L,left Inferior rectal vein,FMA:21314,http://purl.org/sig/ont/fma/fma21314
#VHMBloodVasculature,VH_M_inferior_rectal_vein_R,right Inferior rectal vein,FMA:21313,http://purl.org/sig/ont/fma/fma21313
