OMAP-8: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Placenta full term with Imaging mass cytometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Paul Robson; Santhosh Sivajothi; Ramalakshmi Ramasamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCiD(s):,0000-0002-0191-3958; 0000-0002-8854-4517; 0000-0003-4067-0511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Andrea Radtke; Ellen M. Quardokus; Diane Saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCiD(s):,0000-0003-4379-8967; 0000-0001-7655-4833; 0000-0002-8849-6746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM492.PWHV.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,
OMAP-8,P62736,HGNC:130,ACTA2,Mouse,IgG2a,Monoclonal,1A4,Abcam,ab240654,,Y,,800,141Pr,AB_223019,IMC,FFPE,1,,,0000-0002-8854-4517,Y,Essential marker to identify myofibroblasts and active fibroblasts. This marker represents a core panel and prioritized target in the placenta OMAP.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,Q99929,HGNC:739,ASCL2,Sheep,IgG,Polyclonal,,Thermo Fisher Scientific,PA5-47852,,Y,,200,154Sm,AB_2605821,IMC,FFPE,1,,,0000-0002-8854-4517,N,Marker to identify extravillous trophoblasts.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,Q9Y5Y7,HGNC:14687,LYVE1,Goat,IgG,Polyclonal,,R&D Systems,AF2089,,N,,100,143Nd,AB_355144,IMC,FFPE,1,,,0000-0002-8854-4517,Y,Marker to identify Hofbauer cells. This marker represents a core panel and prioritized target in the placenta OMAP.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,P16284,HGNC:8823,PECAM1,Mouse,IgG1 kappa,Monoclonal,JC/70A,Novus Biologicals,NB600-562,,N,,100,146Nd,AB_10002476,IMC,FFPE,1,,,0000-0002-8854-4517,Y,Essential marker to identify endothelial cells. This marker represents a core panel and prioritized target in the placenta OMAP.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,P17693,HGNC:4964,HLA-G,Mouse,IgG1,Monoclonal,4H84,Novus Biologicals,NB110-55297,,N,,200,147Sm,AB_838578,IMC,FFPE,1,,,0000-0002-8854-4517,Y,Marker to identify extravillous trophoblasts. This marker represents a core panel and prioritized target in the placenta OMAP.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,P13591,HGNC:7656,NCAM1,Rabbit,IgG,Monoclonal,MRQ-42,Cell Marque,156R-94,,N,,100,148Nd,AB_2864402,IMC,FFPE,1,,,0000-0002-8854-4517,N,Marker to identify natural killer cells.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,P14902,HGNC:6059,IDO1,Mouse,IgG2b kappa,Monoclonal,V1NC3IDO,Thermo Fisher Scientific,14-9750-82,,N,,200,149Sm,AB_2572980,IMC,FFPE,1,,,0000-0002-8854-4517,N,Essential marke to identify placental endothelial cells. This marker represents a prioritized target in the placenta OMAP.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,Q9NZQ7,HGNC:17635,CD274,Rabbit,IgG,Monoclonal,73-10,Abcam,ab228415,,Y,,100,150Nd,AB_2884993,IMC,FFPE,1,,,0000-0002-8854-4517,N,Marker to identify syncytiotrophoblasts.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,P11836,HGNC:7315,MS4A1,Mouse,IgG2a kappa,Monoclonal,H1,BD Biosciences,555677,,N,,200,151Eu,AB_396030,IMC,FFPE,1,,,0000-0002-8854-4517,N,Essential marker to identify B cells. This marker represents a prioritized target in the placenta OMAP.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
OMAP-8,O00501,HGNC:2047,CLDN5,Mouse,IgG1,Monoclonal,4C3C2,Thermo Fisher Scientific,35-2500,,N,,200,144Nd,AB_2533200,IMC,FFPE,1,,,0000-0002-8854-4517,N,Marker to identify endothelial cells.,Placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,
