OMAP-15: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Intestine with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Bei Wei; Joanna Yang Bi,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-1516-8802; 0009-0009-0194-4226,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Elizabeth McDonough; Diane Saunders; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0001-7524-8260; 0000-0002-8849-6746; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1038/s41596-021-00556-8,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM332.XBSP.863,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon
OMAP-15,P28906,HGNC:1662 ,CD34,Mouse,IgG1 lambda,Monoclonal,QBEnd/10 + HPCA1/763,Novus Biologicals,NBP2-47909,,Y,7.14,,Oligonucleotide,AB_2864382,CODEX,FFPE,1,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines endothelial cells.,intestine,UBERON:0000160
OMAP-15,Q15063,HGNC:16953,POSTN,Rabbit,IgG,Monoclonal,EPR20806,Abcam,ab227049,,Y,7.14,,Oligonucleotide,AB_3095822,CODEX,FFPE,2,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines extracellular matrix.,intestine,UBERON:0000160
OMAP-15,P46013,HGNC:7107 ,MKI67,Mouse,IgG1 kappa,Monoclonal,B56,BD Biosciences,556003,,N,7.14,,Oligonucleotide,AB_396287,CODEX,FFPE,3,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines proliferating cells.,intestine,UBERON:0000160
OMAP-15,P01903,HGNC:4947 ,HLA-DRA,Rabbit,IgG,Monoclonal,EPR3692,Abcam,ab215985,,N,3.57,,Oligonucleotide,AB_2864390 ,CODEX,FFPE,4,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines dendritic cells.,intestine,UBERON:0000160
OMAP-15,P51449,HGNC:10260 ,RORC,Mouse,IgG2a kappa,Monoclonal,6F3.1,MilliporeSigma,MABF81,,N,7.14,,Oligonucleotide,AB_11205416,CODEX,FFPE,5,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines T helper 17 (Th17) cells often associated with the surface of intestinal mucosa.,intestine,UBERON:0000160
OMAP-15,P11215,HGNC:6149,ITGAM,Rabbit,IgG,Monoclonal,EPR1344,Abcam,ab216445,,Y,7.14,,Oligonucleotide,AB_2864378,CODEX,FFPE,6,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines monocytes.,intestine,UBERON:0000160
OMAP-15,Q9BZS1,HGNC:6106,FOXP3,Mouse,IgG1 kappa,Monoclonal,236A/E7,Invitrogen,14-4777-80,,N,5.36,,Oligonucleotide,AB_467555,CODEX,FFPE,7,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines Tregs.,intestine,UBERON:0000160
OMAP-15,P20702,HGNC:6152 ,ITGAX,Rabbit,IgG,Monoclonal,EP1347Y,Abcam,ab216655,,Y,3.57,,Oligonucleotide,AB_2864379,CODEX,FFPE,8,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines dendritic cells.,intestine,UBERON:0000160
OMAP-15,Q01523,HGNC:2764 ,DEFA5,Rabbit,IgG,Monoclonal,EPR14309(B),Abcam,ab245946,,N,3.57,,Oligonucleotide,AB_2864387,CODEX,FFPE,9,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines Paneth cells.,intestine,UBERON:0000160
OMAP-15,Q8WWA0,HGNC:18259 ,ITLN1,Sheep,IgG,Polyclonal ,,R&D Systems,AF4254,,N,3.57,,Oligonucleotide,AB_2129678,CODEX,FFPE,10,Cy3,https://dx.doi.org/10.17504/protocols.io.n92ldm6y9l5b/v1,0000-0003-1516-8802,N,This marker defines goblet cells.,intestine,UBERON:0000160
