OMAP-27: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Kidney with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Thai Pham; Melissa Farrow,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-6124-7678; 0000-0002-1602-2082,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Diane Saunders; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-8849-6746; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.48539/HBM228.CPGH.632,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,(will delete column),,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,label/synonym,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon
OMAP-27,P41181,HGNC:634,,AQP2,Rabbit,IgG,Monoclonal,EPR21080,Abcam,ab230170,,Y,,200,Oligonucleotide,AB_2847928,CODEX,Fresh frozen,3,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines collecting ducts.,Kidney,UBERON:0002113
OMAP-27,P09564,HGNC:1695,,CD7,Rabbit,IgG,Monoclonal,EPR22065,Abcam,ab239755,,Y,,200,Oligonucleotide,AB_2924341,CODEX,Fresh frozen,7,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines mature T cells.,Kidney,UBERON:0002113
OMAP-27,P16284,HGNC:8823,CD31,PECAM1,Mouse,IgG1,Monoclonal,WM59,Akoya Biosciences,4250009,,N,,400,Oligonucleotide,AB_2895051,CODEX,Fresh frozen,5,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines endothelial cells.,Kidney,UBERON:0002113
OMAP-27,P11836,HGNC:7315,CD20,MS4A1,Rabbit,IgG,Monoclonal,SP32,Abcam,ab236434,,Y,,200,Oligonucleotide,AB_3678438,CODEX,Fresh frozen,6,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines B cells.,Kidney,UBERON:0002113
OMAP-27,Q9Y5Y7,HGNC:14687,,LYVE1,Goat,IgG,Polyclonal,,R&D Systems,AF2089,,N,,200,Oligonucleotide,AB_355144,CODEX,Fresh frozen,6,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines lymphatic vasculature.,Kidney,UBERON:0002113
OMAP-27,P07766,HGNC:1674,,CD3E,Rabbit,IgG,Monoclonal,SP162,Abcam,ab245731,,Y,,200,Oligonucleotide,AB_3676137,CODEX,Fresh frozen,9,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines T cells.,Kidney,UBERON:0002113
OMAP-27,P55268,HGNC:6487,Laminin B2,LAMB2,Mouse,IgG2a,Monoclonal,CL2979,Abcam,ab210956,,N,,200,Oligonucleotide,AB_3678439,CODEX,Fresh frozen,8,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines glomerular basement membrane and vasculature bundles.,Kidney,UBERON:0002113
OMAP-27,Q8N3V7,HGNC:30672,Synaptopodin,SYNPO,Rabbit,IgG,Monoclonal,EPR23922-79,Abcam,ab282117,,Y,,200,Oligonucleotide,AB_3086600,CODEX,Fresh frozen,5,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines podocytes.,Kidney,UBERON:0002113
OMAP-27,P05937,HGNC:1434,Calbindin,CALB1,Rabbit,IgG,Monoclonal,EP3478,Abcam,ab233018,,Y,,200,Oligonucleotide,AB_2924410,CODEX,Fresh frozen,4,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines distal convoluted tubules and connecting tubules.,Kidney,UBERON:0002113
OMAP-27,P07911,HGNC:12559,Uromodulin,UMOD,Rabbit,IgG,Monoclonal,EPR20071,Abcam,ab223540,,Y,,200,Oligonucleotide,AB_2924413,CODEX,Fresh frozen,7,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines the thick ascending limb of Henle.,Kidney,UBERON:0002113
