OMAP-18: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of human lymph node with Cell DIVE-IBEX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Andrea J. Radtke,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1016/j.ccell.2024.02.001,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM974.QWFP.588,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon
OMAP-18,Q15306,HGNC:6119,IRF4,Mouse,IgG1,Monoclonal,MUM1p,Novus Biologicals,NB200-356,R828,N,,10,Unconjugated,AB_10003502,Cell DIVE-IBEX,FFPE,1,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,N,"This marker does not define a specific anatomical structure but can be used to infer cell state. This transcription factor is expressed by plasmablasts, plasma cells, myeloid cells, and T regulatory cells. This marker is not a prioritized target in the healthy lymph node OMAP.",Lymph node,UBERON:0000029
OMAP-18,,,,Goat,IgG,Polyclonal,,Thermo Fisher Scientific,A-21121,,N,,200,AF488,AB_2535764,Cell DIVE-IBEX,FFPE,1,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,N,Used to detect IRF4. This antibody cross-reacts with DC-SIGN (rat IgG antibody) and therefore DC-SIGN must be added in cycle 2.,Lymph node,UBERON:0000029
OMAP-18,P10415,HGNC:990,BCL2,Rabbit,IgG,Monoclonal,SP66,Abcam,ab236221,GR3357093-I,Y,,500,Unconjugated,AB_3083666,Cell DIVE-IBEX,FFPE,1,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,N,"Targets an anti-apoptotic protein highly expressed in mantle zone B cells and follicular lymphoma tumor B cells. This marker can be used to define the mantle zone (high expression) and germinal center (negative) in healthy lymph nodes. This marker is a prioritized target in the healthy lymph node OMAP. Importantly, this clone is preferred by pathologists.",Lymph node,UBERON:0000029
OMAP-18,,,,Donkey,IgG,Polyclonal,,Thermo Fisher Scientific,A-31573,,N,,400,AF647,AB_2536183,Cell DIVE-IBEX,FFPE,1,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,N,Used to detect BCL2.,Lymph node,UBERON:0000029
OMAP-18,P08473,HGNC:7154,MME,Goat,IgG,Polyclonal,,R&D Systems,AF1182,IKB0118011,N,,50,Unconjugated,AB_354652,Cell DIVE-IBEX,FFPE,1,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,N,"Defines neutrophils, follicular lymphoma B cells, and germinal center B cells (low expression). This marker is not a prioritized target in the healthy lymph node OMAP.",Lymph node,UBERON:0000029
OMAP-18,,,,Donkey,IgG,Polyclonal,,Thermo Fisher Scientific,SA5-10091,,N,,200,DyLight 755,AB_2556671,Cell DIVE-IBEX,FFPE,1,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,N,Used to detect MME.,Lymph node,UBERON:0000029
OMAP-18,P11836,HGNC:7315,MS4A1,Mouse,IgG2a,Monoclonal,L26,Thermo Fisher Scientific,53-0202-82,2608794,N,,100,AF488,AB_10734358,Cell DIVE-IBEX,FFPE,2,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,Y,Defines B cell follicles and is an essential marker of B cells. This marker represents a core panel and prioritized target in the lymph node OMAP.,Lymph node,UBERON:0000029
OMAP-18,P20023,HGNC:2336,CR2,Rabbit,IgG,Monoclonal,SP186,Abcam,ab306325,1001027304,Y,,200,PE,AB_3083669,Cell DIVE-IBEX,FFPE,2,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,Y,"Defines follicular dendritic cell meshworks in primary follicles, secondary follicles, and germinal centers. This marker is essential for defining follicular dendritic cells and subsets of B cells. This marker represents a core panel and prioritized target in the lymph node OMAP.",Lymph node,UBERON:0000029
OMAP-18,P34810,HGNC:1693,CD68,Mouse,IgG1,Monoclonal,KP1,Santa Cruz Biotechnology,sc-20060 AF647,H1522,N,,50,AF647,AB_3073741,Cell DIVE-IBEX,FFPE,2,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,Y,"This marker cannot be used to define a specific anatomical structure but is expressed by many subsets of myeloid cells (tingible body macrophages, proinflammatory M1 macrophages, dendritic cells). This marker represents a core panel and prioritized target in the lymph node OMAP.",Lymph node,UBERON:0000029
OMAP-18,Q9NNX6,HGNC:1641,CD209,Rat,IgG2a,Monoclonal,h209,LifeSpan Biosciences,LS-B3782,197068,N,,40,Unconjugated,AB_10689801,Cell DIVE-IBEX,FFPE,2,,https://doi.org/10.1038/s41596-021-00644-9,0000-0003-4379-8967,Y,"Defines medulla, subcapsular sinuses, and medullary sinuses based on enrichment of DC-SIGN+ macrophages in these anatomical structures. This marker is expressed by different subsets of macrophages and dendritic cells. This marker is shown to be expressed by follicular dendritic cells in FL patient samples. This marker represents a core panel and prioritized target in the lymph node OMAP.",Lymph node,UBERON:0000029
