"Anatomical Structures, Cell Types and Biomarkers Table for Placenta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Mana M Parast; Valentina Stanley; Scott A Lindsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-5963-2246; 0000-0002-2212-7796; 0000-0002-2929-7755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Louise C Laurent; Drucilla Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2095-7534; 0000-0002-9104-6674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM887.JMLM.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,15-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/1/NOTE,AS/1/ABBR,AS/2,AS/2/LABEL,AS/2/ID,AS/2/NOTE,AS/2/ABBR,AS/3,AS/3/LABEL,AS/3/ID,AS/3/NOTE,AS/3/ABBR,AS/4,AS/4/LABEL,AS/4/ID,AS/4/NOTE,AS/4/ABBR,AS/5,AS/5/LABEL,AS/5/ID,AS/5/NOTE,AS/5/ABBR,AS/6,AS/6/LABEL,AS/6/ID,AS/6/NOTE,AS/6/ABBR,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTE,CT/1/ABBR,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/1/NOTE,BGene/1/ABBR,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/2/NOTE,BGene/2/ABBR,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/3/NOTE,BGene/3/ABBR,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/4/NOTE,BGene/4/ABBR,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/5/NOTE,BGene/5/ABBR,BLipid/1,BLipid/1/LABEL,BLipid/1/ID,BLipid/1/NOTE,BLipid/1/ABBR,REF/1,REF/1/ID,REF/1/NOTES,REF/2,REF/2/ID,REF/2/NOTES,REF/3,REF/3/ID,REF/3/NOTES,REF/4,REF/4/ID,REF/4/NOTES,REF/5,REF/5/ID,REF/5/NOTES,REF/6,REF/6/ID,REF/6/NOTES,REF/7,REF/7/ID,REF/7/NOTES,REF/8,REF/8/ID,REF/8/NOTES,REF/9,REF/9/ID,REF/9/NOTES,REF/10,REF/10/ID,REF/10/NOTES
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,umbilical vein,umbilical vein,UBERON:0002066,,,,,,,,,,,,,,,,,,vascular endothelial cell,blood vessel endothelial cell,CL:0000071,,VEC,MCAM,melanoma cell adhesion molecule,HGNC:6934,,,VWF,von Willebrand factor,HGNC:12726,,,PECAM1,platelet and endothelial cell adhesion molecule 1,HGNC:8823,,,,,,,,,,,,,,,,,,PMID:8804361,PMID:8804361,,https://doi.org/10.1155/2021/6662201,https://doi.org/10.1155/2021/6662201,,https://doi.org/10.1093/humrep/dem265,https://doi.org/10.1093/humrep/dem265,,https://doi.org/10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2,https://doi.org/10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2,,https://doi.org/10.1093/oxfordjournals.humrep.a136040,https://doi.org/10.1093/oxfordjournals.humrep.a136040,,https://doi.org/10.1371/journal.pone.0169849,https://doi.org/10.1371/journal.pone.0169849,,https://doi.org/10.1371/journal.pone.0169849,https://doi.org/10.1371/journal.pone.0169849,,,,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,umbilical vein,umbilical vein,UBERON:0002066,,,,,,,,,,,,,,,,,,pericyte,pericyte,CL:0000669,,,DES,desmin,HGNC:2770,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,PDGFRB,platelet derived growth factor receptor beta,HGNC:8804,,,CSPG4,chondroitin sulfate proteoglycan 4,HGNC:2466,,,,,,,,,,,,,https://doi.org/10.1016/0014-4800(90)90037-e,https://doi.org/10.1016/0014-4800(90)90037-e,,https://doi.org/10.1007/s00441-003-0745-x,https://doi.org/10.1007/s00441-003-0745-x,,https://doi.org/10.1038/ng.2007.6,https://doi.org/10.1038/ng.2007.6,,,,,,,,,,,,,,,,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,umbilical vein,umbilical vein,UBERON:0002066,,,,,,,,,,,,,,,,,,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,,VSMC,DES,desmin,HGNC:2770,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/0014-4800(90)90037-e,https://doi.org/10.1016/0014-4800(90)90037-e,,https://doi.org/10.1007/s00441-003-0745-x,https://doi.org/10.1007/s00441-003-0745-x,,https://doi.org/10.1038/ng.2007.6,https://doi.org/10.1038/ng.2007.6,,,,,,,,,,,,,,,,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,umbilical arteries,umbilical artery,UBERON:0001310,,,,,,,,,,,,,,,,,,vascular endothelial cell,blood vessel endothelial cell,CL:0000071,,VEC,MCAM,melanoma cell adhesion molecule,HGNC:6934,,,VWF,von Willebrand factor,HGNC:12726,,,PECAM1,platelet and endothelial cell adhesion molecule 1,HGNC:8823,,,,,,,,,,,,,,,,,,PMID:8804361,PMID:8804361,,https://doi.org/10.1155/2021/6662201,https://doi.org/10.1155/2021/6662201,,https://doi.org/10.1093/humrep/dem265,https://doi.org/10.1093/humrep/dem265,,https://doi.org/10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2,https://doi.org/10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2,,https://doi.org/10.1093/oxfordjournals.humrep.a136040,https://doi.org/10.1093/oxfordjournals.humrep.a136040,,https://doi.org/10.1371/journal.pone.0169849,https://doi.org/10.1371/journal.pone.0169849,,https://doi.org/10.1371/journal.pone.0169849,https://doi.org/10.1371/journal.pone.0169849,,,,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,umbilical arteries,umbilical artery,UBERON:0001310,,,,,,,,,,,,,,,,,,pericyte,pericyte,CL:0000669,,,DES,desmin,HGNC:2770,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,PDGFRB,platelet derived growth factor receptor beta,HGNC:8804,,,CSPG4,chondroitin sulfate proteoglycan 4,HGNC:2466,,,,,,,,,,,,,https://doi.org/10.1016/0014-4800(90)90037-e,https://doi.org/10.1016/0014-4800(90)90037-e,,https://doi.org/10.1007/s00441-003-0745-x,https://doi.org/10.1007/s00441-003-0745-x,,https://doi.org/10.1038/ng.2007.6,https://doi.org/10.1038/ng.2007.6,,,,,,,,,,,,,,,,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,umbilical arteries,umbilical artery,UBERON:0001310,,,,,,,,,,,,,,,,,,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,,VSMC,DES,desmin,HGNC:2770,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/0014-4800(90)90037-e,https://doi.org/10.1016/0014-4800(90)90037-e,,https://doi.org/10.1007/s00441-003-0745-x,https://doi.org/10.1007/s00441-003-0745-x,,https://doi.org/10.1038/ng.2007.6,https://doi.org/10.1038/ng.2007.6,,,,,,,,,,,,,,,,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,mesenchyme of umbilical cord (Wharton's jelly),mesenchyme of umbilical cord,UBERON:0003422,,,,,,,,,,,,,,,,,,mesenchymal stromal cell of Wharton's jelly,mesenchymal stem cell of Wharton's jelly,CL:0002568,,,CD44,CD44 molecule (Indian blood group),HGNC:1681,,,THY1,Thy-1 cell surface antigen,HGNC:11801,,,ENG,endoglin,HGNC:3349,,,NT5E,5'-nucleotidase ecto,HGNC:8021,,,,,,,,,,,,,https://doi.org/10.3390/cells1041061,https://doi.org/10.3390/cells1041061,,https://doi.org/10.1016/j.jcyt.2017.03.001,https://doi.org/10.1016/j.jcyt.2017.03.001,,https://doi.org/10.1186/s13287-017-0757-1,https://doi.org/10.1186/s13287-017-0757-1,,https://doi.org/10.1095/biolreprod51.4.739,https://doi.org/10.1095/biolreprod51.4.739,,https://doi.org/10.1095/biolreprod.108.075226,https://doi.org/10.1095/biolreprod.108.075226,,https://doi.org/10.1182/blood.V74.2.751.751,https://doi.org/10.1182/blood.V74.2.751.751,,https://doi.org/10.5966/sctm.2015-0022,https://doi.org/10.5966/sctm.2015-0022,,https://doi.org/10.3346/jkms.2012.27.8.857,https://doi.org/10.3346/jkms.2012.27.8.857,,https://doi.org/10.1093/humrep/den051,https://doi.org/10.1093/humrep/den051,,,,
placenta,placenta,UBERON:0001987,,,placental disc,placental disc,UBERON:8600038,,,basal plate,placental basal plate,UBERON:8600019,,,,,,,,,,,,,,,,,,interstitial extravillous trophoblast,interstitial extravillous trophoblast cell,CL:4033062,,iEVT,HLA-G,"major histocompatibility complex, class I, G",HGNC:4964,,,KRT7,keratin 7,HGNC:6445,,,MCAM,melanoma cell adhesion molecule,HGNC:6934,,,PLAC8,placenta associated 8,HGNC:19254,,,,,,,,,,,,,https://doi.org/10.1016/0198-8859(93)90138-Q,https://doi.org/10.1016/0198-8859(93)90138-Q,,https://doi.org/10.1016/j.jim.2003.03.001,https://doi.org/10.1016/j.jim.2003.03.001,,https://doi.org/10.1053/plac.2000.0559,https://doi.org/10.1053/plac.2000.0559,,https://doi.org/10.1095/biolreprod.106.055244,https://doi.org/10.1095/biolreprod.106.055244,,PMID:8804361,PMID:8804361,,https://doi.org/10.1155/2021/6662201,https://doi.org/10.1155/2021/6662201,,https://doi.org/10.1093/humrep/dem265,https://doi.org/10.1093/humrep/dem265,,https://doi.org/10.1242/dev.148932,https://doi.org/10.1242/dev.148932,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,amnion,amnion,UBERON:0000305,,,amniotic ectoderm,amniotic ectoderm,UBERON:0003254,,,,,,,,,,,,,amnion epithelial cell,epithelial cell of amnion,CL:0002536,,AEC,KRT7,keratin 7,HGNC:6445,,,POU5F1,POU class 5 homeobox 1,HGNC:9221,,,SOX2,SRY-box transcription factor 2,HGNC:11195,,,,,,,,,,,,,SSEA-3,SSEA-3 antigen,LM:LMSP0502AE00,,,https://doi.org/10.1016/j.jim.2003.03.001,https://doi.org/10.1016/j.jim.2003.03.001,,https://doi.org/10.1053/plac.2000.0559,https://doi.org/10.1053/plac.2000.0559,,https://doi.org/10.1095/biolreprod.106.055244,https://doi.org/10.1095/biolreprod.106.055244,,https://doi.org/10.1016/j.jri.2009.02.007,https://doi.org/10.1016/j.jri.2009.02.007,,https://doi.org/10.1371/journal.pone.0146082,https://doi.org/10.1371/journal.pone.0146082,,https://doi.org/10.17772/gp/1673,https://doi.org/10.17772/gp/1673,,,,,,,,,,,,,
placenta,placenta,UBERON:0001987,,,umbilical cord,umbilical cord,UBERON:0002331,,,amnion,amnion,UBERON:0000305,,,amniotic mesoderm,amniotic mesoderm,UBERON:0003262,,,,,,,,,,,,,amnion mesenchymal stromal cell,placental amniotic mesenchymal stromal cell,CL:2000061,,AMSC,CD44,CD44 molecule (Indian blood group),HGNC:1681,,,THY1,Thy-1 cell surface antigen,HGNC:11801,,,ENG,endoglin,HGNC:3349,,,NT5E,5'-nucleotidase ecto,HGNC:8021,,,,,,,,,,,,,https://doi.org/10.3390/cells1041061,https://doi.org/10.3390/cells1041061,,https://doi.org/10.1016/j.jcyt.2017.03.001,https://doi.org/10.1016/j.jcyt.2017.03.001,,https://doi.org/10.1186/s13287-017-0757-1,https://doi.org/10.1186/s13287-017-0757-1,,https://doi.org/10.1095/biolreprod51.4.739,https://doi.org/10.1095/biolreprod51.4.739,,https://doi.org/10.1095/biolreprod.108.075226,https://doi.org/10.1095/biolreprod.108.075226,,https://doi.org/10.1182/blood.V74.2.751.751,https://doi.org/10.1182/blood.V74.2.751.751,,https://doi.org/10.5966/sctm.2015-0022,https://doi.org/10.5966/sctm.2015-0022,,https://doi.org/10.3346/jkms.2012.27.8.857,https://doi.org/10.3346/jkms.2012.27.8.857,,https://doi.org/10.1093/humrep/den051,https://doi.org/10.1093/humrep/den051,,,,
